# generated by scripts/base-taxonomy.py from poe1/data/base_items.json and item_classes.json @ e2bd511a, ../trade-query/data/items-2026-09-12.json and filters-2026-09-12.json, the item-facts raw stores (local)
name,item_class,class_name,export_category,release_state,domain,tags,trade_coarse_by_name,trade_id_predicted,basis,corpus_items,corpus_frames
Enshrouded Helmet,CocoonedItem,Enshrouded Items,Enshrouded Item,released,undefined,default,enshrouded,enshrouded,class,0,
Enshrouded Shield,CocoonedItem,Enshrouded Items,Enshrouded Item,released,undefined,default,enshrouded,enshrouded,class,0,
Enslaver-Occupied Map,InstanceLocalItem,Instance Local Items,Instance Local Item,released,undefined,default,,map,class,0,
Ensnaring Arrow,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,6,Gem:6
Enthalpic Ring,Ring,Rings,Ring,released,item,not_for_sale ring default,accessory,accessory.ring,class,2,Unique:1 Rare:1
Envy,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,,gem.activegem,class,0,
Eradicator-Occupied Map,InstanceLocalItem,Instance Local Items,Instance Local Item,released,undefined,default,,map,class,0,
Erupting Xophgraft,RemovedItem,,,released,brequel_graft,graft graft_xoph graft_xoph_cremations graft_damaging_skill default,graft,graft,class,0,
Escaped Prototype,ItemisedCorpse,Corpses,Corpse,released,undefined,itemisedcorpse_mid default,,corpse,class,0,
Esh's Breachstone,MiscMapItem,Misc Map Items,Misc Map Item,released,undefined,default,map,map,class,3,Normal:3
Esh's Charged Breachstone,Breachstone,Breachstones,Breachstone,released,undefined,breachstone2 default,,map.breachstone,class,0,
Esh's Enriched Breachstone,Breachstone,Breachstones,Breachstone,released,undefined,breachstone3 default,,map.breachstone,class,0,
Esh's Flawless Breachstone,Breachstone,Breachstones,Breachstone,released,undefined,breachstone5 default,map,map.breachstone,class,0,
Esh's Pure Breachstone,Breachstone,Breachstones,Breachstone,released,undefined,breachstone4 default,,map.breachstone,class,0,
Espionage Disguise Kit,HeistEquipmentTool,Heist Tools,Heist Tool,released,heist_npc,heist_equipment_deception heist_equipment_tool heist_equipment default,heistequipment,heistequipment.heisttool,class,3,Magic:2 Rare:1
Essence Burner,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,0,
Essence Drain,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,25,Gem:25
Essence Leaguestone,Leaguestone,Leaguestones,Leaguestone,released,leaguestone,essence_leaguestone default,leaguestone,leaguestone,class,0,
Essence Scarab,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content essence_scarab common_scarab default,map,map.scarab,class + name rule,4,Normal:4
Essence Scarab of Adaptation,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content essence_scarab mythic_scarab default,map,map.scarab,class + name rule,2,Normal:2
Essence Scarab of Ascent,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content essence_scarab rare_scarab default,map,map.scarab,class + name rule,4,Normal:4
Essence Scarab of Calcification,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content essence_scarab mythic_scarab default,map,map.scarab,class + name rule,2,Normal:2
Essence Scarab of Stability,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content essence_scarab uncommon_scarab default,map,map.scarab,class + name rule,5,Normal:5
Essence of Delirium,StackableCurrency,Stackable Currency,Currency,released,undefined,essence currency default,currency,currency,class,2,Currency:2
Essence of Desolation,StackableCurrency,Stackable Currency,Currency,released,undefined,essence currency default,currency,currency,class,0,
Essence of Horror,StackableCurrency,Stackable Currency,Currency,released,undefined,essence currency default,currency,currency,class,1,Currency:1
Essence of Hysteria,StackableCurrency,Stackable Currency,Currency,released,undefined,essence currency default,currency,currency,class,1,Currency:1
Essence of Insanity,StackableCurrency,Stackable Currency,Currency,released,undefined,essence currency default,currency,currency,class,1,Currency:1
Essential Keyring,HeistEquipmentTool,Heist Tools,Heist Tool,released,heist_npc,heist_equipment_trapdisarmament heist_equipment_tool heist_equipment default,heistequipment,heistequipment.heisttool,class,1,Rare:1
Estoc,Thrusting One Hand Sword,Thrusting One Hand Swords,One Hand Sword,released,item,rapier sword one_hand_weapon onehand weapon default,weapon,weapon.rapier,class,16,Unique:15 Rare:1
Estuary Map,Map,Maps,Map,released,area,top_tier_map swamp mountain not_for_sale map default,,map,class,0,
Etched Greatsword,Two Hand Sword,Two Hand Swords,Two Hand Sword,released,item,sword two_hand_weapon twohand weapon default,weapon,weapon.twosword,class,8,Unique:8
Etched Hatchet,One Hand Axe,One Hand Axes,One Hand Axe,released,item,not_for_sale maraketh axe one_hand_weapon onehand weapon default,weapon,weapon.oneaxe,class,1,Rare:1
Etched Kite Shield,Shield,Shields,Shield,released,item,str_int_armour str_int_shield shield armour default,armour,armour.shield,class,3,Rare:3
Etched in Blood,DivinationCard,Divination Cards,Divination Card,released,undefined,unique_divination corrupted_divination unique_corrupted_divination divination_card default,card,card,class,1,DivinationCard:1
Eternal Blessing Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,12,Gem:12
Eternal Bonds,DivinationCard,Divination Cards,Divination Card,released,undefined,maps_divination unique_divination maps_unique_divination unique_corrupted_divination corrupted_divination divination_card default,card,card,class,1,DivinationCard:1
Eternal Burgonet,Helmet,Helmets,Helmet,released,item,str_armour top_tier_base_item_type helmet armour default,armour,armour.helmet,class,29,Rare:20 Magic:4 Normal:3 Unique:2
Eternal Life Flask,LifeFlask,Life Flasks,Flask,released,flask,not_for_sale life_flask flask default,flask,flask,class,102,Normal:56 Magic:46
Eternal Mana Flask,ManaFlask,Mana Flasks,Flask,released,flask,not_for_sale mana_flask flask default,flask,flask,class,112,Magic:69 Normal:43
Eternal Orb,StackableCurrency,Stackable Currency,Currency,legacy,undefined,extreme_tier_currency currency default,currency,currency,class,0,
Eternal Sword,One Hand Sword,One Hand Swords,One Hand Sword,released,item,top_tier_base_item_type sword one_hand_weapon onehand weapon default,weapon,weapon.basesword,class,8,Unique:7 Rare:1
Ethereal Blade,Dagger,Daggers,Dagger,released,undefined,not_for_sale dagger attack_dagger one_hand_weapon onehand weapon default,,weapon.basedagger,class,0,
Ethereal Bow,Bow,Bows,Bow,released,undefined,not_for_sale bow ranged two_hand_weapon twohand weapon default,,weapon.bow,class,0,
Ethereal Knives,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,13,Gem:13
Eventuality Rod,Warstaff,Warstaves,Staff,released,item,not_for_sale experimental_base staff attack_staff two_hand_weapon twohand weapon default,weapon,weapon.warstaff,class,1,Rare:1
Ever-Changing,DivinationCard,Divination Cards,Divination Card,released,undefined,currency_divination currency_basic_divination divination_card default,card,card,class,2,DivinationCard:2
Eviscerate,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,1,Gem:1
Exalted Implant,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Exalted Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,mid_tier_currency currency default,currency,currency,class,4,Currency:4
Exalted Shard,StackableCurrency,Stackable Currency,Currency,released,undefined,currency_shard currency default,currency,currency,class,3,Currency:3
Excavation Map,Map,Maps,Map,released,area,cave mountain top_tier_map not_for_sale map default,,map,class,0,
Exceptional Black Scythe Artifact,StackableCurrency,Stackable Currency,Currency,released,undefined,disallowed_in_generic_currency_stash_slots expedition_currency_faction2 currency default,currency,currency,class,0,
Exceptional Broken Circle Artifact,StackableCurrency,Stackable Currency,Currency,released,undefined,disallowed_in_generic_currency_stash_slots expedition_currency_faction1 currency default,currency,currency,class,0,
Exceptional Eldritch Ember,StackableCurrency,Stackable Currency,Currency,released,undefined,cleansing_fire_currency eldritch_ember all_eldritch_currency_except_lesser currency default,currency,currency,class,2,Currency:2
Exceptional Eldritch Ichor,StackableCurrency,Stackable Currency,Currency,released,undefined,great_tangle_currency eldritch_ichor all_eldritch_currency_except_lesser currency default,currency,currency,class,2,Currency:2
Exceptional Order Artifact,StackableCurrency,Stackable Currency,Currency,released,undefined,disallowed_in_generic_currency_stash_slots expedition_currency_faction3 currency default,currency,currency,class,0,
Exceptional Sun Artifact,StackableCurrency,Stackable Currency,Currency,released,undefined,disallowed_in_generic_currency_stash_slots expedition_currency_faction4 currency default,currency,currency,class,0,
Excommunicate Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,0,
Exemplar Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,0,
Exhausting Spirit Shield,Shield,Shields,Shield,released,item,int_armour focus not_for_sale experimental_base shield armour default,armour,armour.shield,class,0,
Exothermic Tower Shield,Shield,Shields,Shield,released,item,str_armour str_shield not_for_sale experimental_base shield armour default,armour,armour.shield,class,0,
Exotic Coinage,StackableCurrency,Stackable Currency,Currency,released,undefined,disallowed_in_generic_currency_stash_slots currency default,currency,currency,class,0,
Expedition Logbook,ExpeditionLogbook,Expedition Logbooks,Expedition Logbook,released,area,expedition_logbook expedition_logbook default,logbook,logbook,class,0,
Expedition Scarab,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content expedition_scarab common_scarab default,map,map.scarab,class + name rule,4,Normal:4
Expedition Scarab of Archaeology,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content expedition_scarab rare_scarab default,map,map.scarab,class + name rule,4,Normal:4
Expedition Scarab of Infusion,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content expedition_scarab rare_scarab default,map,map.scarab,class + name rule,2,Normal:2
Expedition Scarab of Runefinding,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content expedition_scarab uncommon_scarab default,map,map.scarab,class + name rule,4,Normal:4
Expedition Scarab of Verisium Powder,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content expedition_scarab uncommon_scarab default,map,map.scarab,class + name rule,4,Normal:4
Expert Retaliation Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,0,
Explorer's Scouting Report,StackableCurrency,Stackable Currency,Currency,released,undefined,drops_in_maps_only currency default,currency,currency,class,2,Currency:2
Explosive Arrow,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,10,Gem:10
Explosive Concoction,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,3,Gem:3
Explosive Trap,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,14,Gem:14
Exquisite Blade,Two Hand Sword,Two Hand Swords,Two Hand Sword,released,item,not_for_sale maraketh sword two_hand_weapon twohand weapon default,weapon,weapon.twosword,class,6,Unique:6
Exquisite Leather,Body Armour,Body Armours,Body Armour,released,item,dex_armour top_tier_base_item_type body_armour armour default,armour,armour.chest,class,11,Unique:6 Rare:5
Exsanguinate,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,16,Gem:16
Eye Gouger,Claw,Claws,Claw,released,item,top_tier_base_item_type claw one_hand_weapon onehand weapon default,weapon,weapon.claw,class,5,Rare:5
Eye of Conquest,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Eye of Winter,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,5,Gem:5
Eyes of Zeal,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Ez Myrae Tome,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,0,
Ezomyte Axe,Two Hand Axe,Two Hand Axes,Two Hand Axe,released,item,top_tier_base_item_type axe two_hand_weapon twohand weapon default,weapon,weapon.twoaxe,class,18,Unique:16 Rare:2
Ezomyte Blade,Two Hand Sword,Two Hand Swords,Two Hand Sword,released,item,top_tier_base_item_type sword two_hand_weapon twohand weapon default,weapon,weapon.twosword,class,9,Unique:5 Rare:4
Ezomyte Burgonet,Helmet,Helmets,Helmet,released,item,str_armour helmet armour default,armour,armour.helmet,class,31,Unique:19 Rare:12
Ezomyte Dagger,Rune Dagger,Rune Daggers,Dagger,released,item,top_tier_base_item_type dagger one_hand_weapon onehand weapon default,weapon,weapon.runedagger,class,18,Unique:16 Rare:2
Ezomyte Spiked Shield,Shield,Shields,Shield,released,item,dex_int_armour dex_int_shield top_tier_base_item_type shield armour default,armour,armour.shield,class,10,Unique:6 Rare:4
Ezomyte Staff,Warstaff,Warstaves,Staff,released,item,warstaff top_tier_base_item_type staff attack_staff two_hand_weapon twohand weapon default,weapon,weapon.warstaff,class,18,Unique:15 Rare:3
Ezomyte Tower Shield,Shield,Shields,Shield,released,item,str_armour str_shield top_tier_base_item_type shield armour default,armour,armour.shield,class,9,Rare:6 Unique:1 Magic:1 Normal:1
Faceted Fossil,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency.fossil,class + name rule,0,
Facetor's Lens,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,1,Currency:1
Factory Map,Map,Maps,Map,released,area,low_tier_map urban map default,,map,class,0,
Fading Reflecting Mist,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,,currency,class,0,
Faithful Helmet,Helmet,Helmets,Helmet,released,item,str_int_armour top_tier_base_item_type not_for_sale helmet armour default,armour,armour.helmet,class,1,Rare:1
Falling Crystals,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,,gem.activegem,class,0,
Familial Contract,HeistContract,Contracts,Contract,released,undefined,default,heistmission,heistmission.contract,class,38,Unique:38
Fancy Foil,Thrusting One Hand Sword,Thrusting One Hand Swords,One Hand Sword,released,item,rapier sword one_hand_weapon onehand weapon default,weapon,weapon.rapier,class,1,Rare:1
Fangjaw Talisman,Amulet,Amulets,Amulet,released,item,talisman amulet default,accessory,accessory.amulet,class,7,Rare:7
Farric Lure,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,0,
Farric Talisman,Amulet,Amulets,Amulet,released,item,talisman amulet default,accessory,accessory.amulet,class,0,
Faster Attacks Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,69,Gem:69
Faster Casting Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,47,Gem:47
Faster Projectiles Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,2,Gem:2
Fateful Meeting,DivinationCard,Divination Cards,Divination Card,released,undefined,unique_divination corrupted_divination unique_corrupted_divination boss_drop_card divination_card default,card,card,class,0,
Father's Love,DivinationCard,Divination Cards,Divination Card,released,undefined,jewellery_divination unique_divination unique_jewellery_divination boss_drop_card divination_card default,card,card,class,0,
Faun's Horn,Wand,Wands,Wand,released,item,wand_can_roll_caster_modifiers wand ranged one_hand_weapon onehand weapon default,weapon,weapon.wand,class,8,Rare:5 Normal:2 Magic:1
Feathered Arrow Quiver,Quiver,Quivers,Quiver,released,item,quiver default,armour,armour.quiver,class,11,Unique:8 Rare:3
Feeding Frenzy Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,19,Gem:19
Fencer Helm,Helmet,Helmets,Helmet,released,item,str_dex_armour helmet armour default,armour,armour.helmet,class,8,Rare:7 Unique:1
Fenumal Lure,MapFragment,Map Fragments,Map Fragment,released,undefined,default,map,map.fragment,class,0,
Fenumal Talisman,Amulet,Amulets,Amulet,released,item,talisman amulet default,accessory,accessory.amulet,class,0,
Feral Incubator,Incubator,Incubators,Incubator,released,undefined,default,currency,currency.incubator,class,0,
Fertile Catalyst,StackableCurrency,Stackable Currency,Currency,released,undefined,catalyst currency default,currency,currency,class,2,Currency:2
Festival Mask,Helmet,Helmets,Helmet,released,item,dex_int_armour helmet armour default,armour,armour.helmet,class,14,Unique:13 Rare:1
Fickle Spiritblade,One Hand Sword,One Hand Swords,One Hand Sword,released,item,not_for_sale experimental_base sword one_hand_weapon onehand weapon default,weapon,weapon.basesword,class,0,
Field Lamellar,Body Armour,Body Armours,Body Armour,released,item,str_dex_armour body_armour armour default,armour,armour.chest,class,0,
Fields Map,Map,Maps,Map,released,area,not_for_sale can_be_infected_map urban forest cannot_be_twinned map default,,map,class,0,
Fiend Dagger,Rune Dagger,Rune Daggers,Dagger,released,item,dagger one_hand_weapon onehand weapon default,weapon,weapon.runedagger,class,17,Unique:11 Rare:5 Magic:1
Fiery Cannibal,ItemisedCorpse,Corpses,Corpse,released,undefined,itemisedcorpse_mid default,corpse,corpse,class,0,
Filled Coffin,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Fine Delirium Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,affliction_orb currency default,currency,currency,class,4,Currency:4
Fine Incubator,Incubator,Incubators,Incubator,released,undefined,default,currency,currency.incubator,class,0,
Fine Lockpick,HeistEquipmentTool,Heist Tools,Heist Tool,released,heist_npc,heist_equipment_lockpick heist_equipment_tool heist_equipment default,heistequipment,heistequipment.heisttool,class,2,Rare:1 Normal:1
Fine Sensing Charm,HeistEquipmentTool,Heist Tools,Heist Tool,released,heist_npc,heist_equipment_perception heist_equipment_tool heist_equipment default,heistequipment,heistequipment.heisttool,class,0,
Fine Sharpening Stone,HeistEquipmentWeapon,Heist Gear,Heist Gear,released,heist_npc,heist_equipment_weapon heist_equipment_melee heist_equipment default,heistequipment,heistequipment.heistweapon,class,3,Normal:2 Magic:1
Fingerless Silk Gloves,Gloves,Gloves,Gloves,released,item,not_for_sale atlas_base_type glovesatlasint int_armour gloves armour default,armour,armour.gloves,class,16,Rare:10 Unique:3 Normal:3
Fir Round Shield,Shield,Shields,Shield,released,item,str_dex_armour str_dex_shield shield armour default,armour,armour.shield,class,0,
Fire Arrow Quiver,Quiver,Quivers,Quiver,released,item,trade_market_legacy_item quiver default,armour,armour.quiver,class,17,Unique:11 Rare:6
Fire Of Unknown Origin,DivinationCard,Divination Cards,Divination Card,released,undefined,jewellery_divination unique_divination unique_jewellery_divination boss_drop_card divination_card default,card,card,class,0,
Fire Penetration Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,7,Gem:7
Fire Trap,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,13,Gem:13
Fire Weapon,Active Skill Gem,Skill Gems,Skill Gem,unreleased,undefined,gem default,,gem.activegem,class,0,
Fireball,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,8,Gem:8
Firefly,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Firestorm,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,10,Gem:10
Fishing Rod,FishingRod,Fishing Rods,Fishing Rod,released,item,not_for_sale fishing_rod twohand weapon default,weapon,weapon.rod,class,0,
Fishscale Gauntlets,Gloves,Gloves,Gloves,released,item,str_dex_armour gloves armour default,armour,armour.gloves,class,1,Rare:1
Fissure Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,level_capped_gem support_gem gem default,gem,gem.supportgem,class,0,
Fist of War Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,5,Gem:5
Flame Dash,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,83,Gem:83
Flame Hellion Talisman,Amulet,Amulets,Amulet,released,item,talisman amulet default,accessory,accessory.amulet,class,0,
Flame Link,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,3,Gem:3
Flame Surge,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,9,Gem:9
Flame Wall,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,12,Gem:12
Flameblast,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,3,Gem:3
Flamecaller Xophgraft,RemovedItem,,,released,brequel_graft,graft graft_xoph graft_xoph_flame_pillars graft_damaging_skill default,graft,graft,class,0,
Flamethrower Trap,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,4,Gem:4
Flamewood Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,6,Gem:6
Flammability,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,32,Gem:32
Flammable Shot,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,,gem.activegem,class,0,
Flanged Arrowhead,HeistEquipmentWeapon,Heist Gear,Heist Gear,released,heist_npc,heist_equipment_weapon heist_equipment_ranged heist_equipment default,heistequipment,heistequipment.heistweapon,class,3,Magic:1 Normal:1 Rare:1
Flanged Drill,HeistEquipmentTool,Heist Tools,Heist Tool,released,heist_npc,heist_equipment_engineering heist_equipment_tool heist_equipment default,heistequipment,heistequipment.heisttool,class,0,
Flanged Mace,One Hand Mace,One Hand Maces,One Hand Mace,released,item,mace one_hand_weapon onehand weapon default,weapon,weapon.basemace,class,1,Rare:1
Flare Mace,One Hand Mace,One Hand Maces,One Hand Mace,released,item,not_for_sale experimental_base mace one_hand_weapon onehand weapon default,weapon,weapon.basemace,class,0,
Flaring Allflame Ember of Abyss,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Flaring Allflame Ember of Breachlords,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Flaring Allflame Ember of Kalguurans,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Flaring Allflame Ember of Scientists,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Flaring Allflame Ember of The First Ones,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Flaring Allflame Ember of Wildwood Cultists,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Flaring Allflame Ember of the Vaal,NecropolisPack,Embers of the Allflame,Ember of the Allflame,released,undefined,default,,,none,0,
Flashfire Blade,Rune Dagger,Rune Daggers,Dagger,released,item,not_for_sale experimental_base dagger one_hand_weapon onehand weapon default,weapon,weapon.runedagger,class,0,
Flashpowder Keg,IncursionItem,Incursion Items,Incursion Item,released,undefined,default,,,none,0,
Flask of Welakath,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,0,
Flaying Knife,Dagger,Daggers,Dagger,released,item,dagger attack_dagger one_hand_weapon onehand weapon default,weapon,weapon.basedagger,class,4,Unique:4
Fleet Orders,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Flesh Compass,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Flesh Offering,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,15,Gem:15
Flesh and Stone,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,29,Gem:29
Flesh of Xesht,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Fleshgraft,RemovedItem,,,released,brequel_graft,graft graft_tutorial default,graft,graft,class,0,
Fleshripper,Two Hand Axe,Two Hand Axes,Two Hand Axe,released,item,not_for_sale maraketh axe two_hand_weapon twohand weapon default,weapon,weapon.twoaxe,class,2,Magic:1 Rare:1
Flicker Strike,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,9,Gem:9
Flickerflame Blade,Rune Dagger,Rune Daggers,Dagger,released,item,not_for_sale experimental_base dagger one_hand_weapon onehand weapon default,weapon,weapon.runedagger,class,0,
Flooded Mine Map,Map,Maps,Map,released,area,indoors_area cave not_for_sale old_map map default,,map,class,0,
Fluted Bascinet,Helmet,Helmets,Helmet,released,item,str_dex_armour helmet armour default,armour,armour.helmet,class,22,Rare:20 Unique:2
Focal Stone,HeistEquipmentWeapon,Heist Gear,Heist Gear,released,heist_npc,heist_equipment_weapon heist_equipment_caster heist_equipment default,heistequipment,heistequipment.heistweapon,class,5,Rare:2 Normal:2 Magic:1
Focused Amulet,Amulet,Amulets,Amulet,released,item,not_for_sale experimental_base amulet default,accessory,accessory.amulet,class,0,
Focused Ballista Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,3,Gem:3
Focused Channelling Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,1,Gem:1
Foliate Brooch,HeistEquipmentReward,Heist Brooches,Heist Brooch,released,heist_npc,heist_equipment_reward heist_equipment default,heistequipment,heistequipment.heistreward,class,17,Magic:10 Normal:4 Rare:3
Footman Sword,Two Hand Sword,Two Hand Swords,Two Hand Sword,released,item,sword two_hand_weapon twohand weapon default,weapon,weapon.twosword,class,4,Magic:2 Rare:2
Forbidden Contract,HeistContract,Contracts,Contract,released,undefined,default,,heistmission.contract,class,0,
Forbidden Lamp,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,0,
Forbidden Power,DivinationCard,Divination Cards,Divination Card,released,undefined,weapon_divination unique_divination unique_weapon_divination unique_corrupted_divination corrupted_divination divination_card default,card,card,class,2,DivinationCard:2
Forbidden Rite,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,9,Gem:9
Forbidden Scripture,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Forbidden Tattoo of the Duelist,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Forbidden Tattoo of the Marauder,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Forbidden Tattoo of the Ranger,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Forbidden Tattoo of the Scion,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Forbidden Tattoo of the Shadow,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Forbidden Tattoo of the Templar,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Forbidden Tattoo of the Witch,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Forbidden Tome,ItemisedSanctum,Sanctum Research,Misc Map Item,released,undefined,not_for_sale sanctum_key default,sanctum,sanctum.research,class,243,Currency:243
Forbidden Woods Map,Map,Maps,Map,released,area,not_for_sale can_be_infected_map forest cannot_be_twinned map default,,map,class,0,
Foreboding Incubator,Incubator,Incubators,Incubator,released,undefined,default,currency,currency.incubator,class,5,Currency:5
Forest Tiger,ItemisedCorpse,Corpses,Corpse,released,undefined,itemisedcorpse_mid default,corpse,corpse,class,0,
Forest Warrior,ItemisedCorpse,Corpses,Corpse,released,undefined,itemisedcorpse_mid default,corpse,corpse,class,0,
Forge of the Phoenix Map,Map,Maps,Map,released,area,top_tier_map indoors_area dungeon not_for_sale cannot_be_twinned map default,,map,class,0,
Forgotten Reliquary Key,VaultKey,Vault Keys,Vault Key,released,undefined,default,map,map,class,0,
Fork Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,1,Gem:1
Forking River Map,Map,Maps,Map,released,area,not_for_sale can_be_infected_map mountain map default,,map,class,0,
Formless Ring,Ring,Rings,Ring,released,item,not_for_sale ring default,accessory,accessory.ring,class,0,
