# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
trade_number,group,class,reason,mods,table,mod,pob_description,export_numbers,capture_categories,export_string
178057093,local_display_socketed_golem_chance_to_taunt_%,reproduced,,1,ModItemExclusive,LocalGolemTauntOnHitUnique__1_,Socketed Golem Skills have 25% chance to Taunt on Hit,178057093,explicit,Socketed Golem Skills have {0}% chance to Taunt on Hit
178386603,from_self_minimum_added_cold_damage_taken_per_frenzy_charge|from_self_maximum_added_cold_damage_taken_per_frenzy_charge,reproduced,,1,ModExplicit,AddedColdDamagePerFrenzyChargeEssence1Inverted,Adds 4 to 7 Cold Damage to Hits against you per Frenzy Charge,178386603,explicit fractured,Adds {0} to {1} Cold Damage to Hits against you per Frenzy Charge
179010262,action_speed_is_at_least_90%,reproduced,,1,ModFoulborn,MutatedUniqueGlovesDex2ActionSpeedMinimum90,Your Action Speed is at least 90% of base value,179010262,explicit,Your Action Speed is at least 90% of base value
180240697,minion_flask_charges_used_+%,reproduced,,1,ModItemExclusive,MinionFlaskChargesUsedUnique__1,Minions have (25-40)% reduced Flask Charges used,180240697,explicit,Minions have {0}% increased Flask Charges used
180850565,old_do_not_use_life_leech_permyriad_on_crit,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,LifeLeechOnCritUniqueTwoHandAxe8,600% of Damage Leeched as Life on Critical Strike,,not in capture,
181229988,spells_inflict_intimidate_on_crit,reproduced,,1,ModItemExclusive,SpellCriticalStrikesIntimidateUnique__1,Spells inflict Intimidate on Critical Strike for 4 seconds,181229988,explicit,Spells inflict Intimidate on Critical Strike for 4 seconds
182714578,local_flask_bleeding_immunity_if_bleeding_and_remove_corrupted_blood_s,reproduced,,4,ModFlask,FlaskBleedCorruptingBloodImmunity1,Grants Immunity to Bleeding for (6-8) seconds if used while Bleeding / Grants Immunity to Corrupted Blood for (6-8) seconds if used while affected by Corrupted Blood,182714578,explicit fractured,Grants Immunity to Bleeding for {0} seconds if used while Bleeding\nGrants Immunity to Corrupted Blood for {0} seconds if used while affected by Corrupted Blood
183591019,local_affliction_notable_disease_vector,reproduced,,1,ModJewelCluster,AfflictionNotableDiseaseVector,1 Added Passive Skill is Disease Vector,183591019,explicit fractured,1 Added Passive Skill is Disease Vector
185592058,local_affliction_notable_master_of_the_maelstrom,reproduced,,1,ModJewelCluster,AfflictionNotableMasterOfTheMaelstrom_,1 Added Passive Skill is Master of the Maelstrom,185592058,explicit fractured,1 Added Passive Skill is Master of the Maelstrom
185598681,additive_spell_damage_modifiers_apply_to_attack_damage_at_150%_value,reproduced,,1,ModItemExclusive,SpellDamageModifiersApplyToAttackDamageUniqueHelmetInt7,Attacks have 150% Arcane Might,185598681,explicit,Attacks have 150% Arcane Might
186383409,golem_movement_speed_+%,reproduced,,1,ModItemExclusive,GolemMovementSpeedUnique__1,Golems have (80-100)% increased Movement Speed,186383409,explicit,Golems have {0}% increased Movement Speed
186482813,local_gain_fortify_on_melee_hit_chance_%_with_melee_abyss_jewel_socketed,reproduced,,1,ModItemExclusive,FortifyOnHitWithMeleeAbyssJewelUnique__1,"With a Murderous Eye Jewel Socketed, Melee Hits have 25% chance to Fortify",186482813,explicit,"With a Murderous Eye Jewel Socketed, Melee Hits have {0}% chance to Fortify"
187418672,attack_minimum_added_cold_damage_with_maces|attack_maximum_added_cold_damage_with_maces,reproduced,,6,ModJewelAbyss,AbyssAddedColdDamageWithMacesJewel1,(4-5) to (9-10) Added Cold Damage with Mace or Sceptre Attacks,187418672,explicit fractured,{0} to {1} Added Cold Damage with Mace or Sceptre Attacks
187998220,gain_iron_reflexes_while_stationary,reproduced,,1,ModItemExclusive,GainIronReflexesWhileStationaryUnique__1,Iron Reflexes while stationary,187998220,explicit,Iron Reflexes while stationary
189451991,chaos_damage_to_return_to_melee_attacker,reproduced,,1,ModItemExclusive,AttackerTakesChaosDamageUniqueBodyStrInt4,Reflects 30 Chaos Damage to Melee Attackers,189451991,explicit,Reflects {0} Chaos Damage to Melee Attackers
192842973,attack_damage_+%_per_450_physical_damage_reduction_rating,reproduced,,1,ModItemExclusive,AttackDamagePer450ArmourUnique__1__,1% increased Attack Damage per 450 Armour,192842973,explicit,{0}% increased Attack Damage per 450 Armour
195090426,local_left_ring_slot_mana_regeneration_rate_+%,reproduced,,1,ModItemExclusive,LeftRingSlotManaRegenUniqueRing13,Left ring slot: 100% increased Mana Regeneration Rate,195090426,explicit,Left ring slot: {0}% increased Mana Regeneration Rate
196260576,flasks_gain_x_charges_on_hit_once_per_second_vs_non_unique,reproduced,,1,ModItemExclusive,FlaskChargeOnHitNonUniqueUniqueJewel____9,"Flasks gain 2 Charges when you hit a Non-Unique Enemy, no more than once per second",196260576,explicit,"Flasks gain {0} Charges when you hit a Non-Unique Enemy, no more than once per second"
196313911,local_hit_damage_+%_vs_frozen_enemies,reproduced,,1,ModItemExclusive,LocalElementalDamageAgainstFrozenEnemiesUnique__1,Hits with this Weapon deal (30-60)% increased Damage to Frozen Enemies,196313911,explicit,Hits with this Weapon deal {0}% increased Damage to Frozen Enemies
199362230,minion_base_physical_damage_%_to_convert_to_chaos_per_white_socket_on_item,reproduced,,1,ModItemExclusive,MinionPhysicalToChaosPerWhiteSocket,Minions convert 25% of Physical Damage to Chaos Damage per White Socket,199362230,explicit,Minions convert {0}% of Physical Damage to Chaos Damage per White Socket
200113086,local_ring_nova_spells_area_of_effect_+%_final,reproduced,,1,ModItemExclusive,NovaSpellsAreaOfEffectUnique__1,Nova Spells have 20% less Area of Effect,200113086,explicit,Nova Spells have {0}% more Area of Effect
201731102,local_affliction_jewel_small_nodes_grant_attack_and_cast_speed_+%_with_lightning_skills,reproduced,,3,ModJewelCluster,AfflictionJewelSmallPassivesGrantLightningSkillAttackAndCastSpeed,Added Small Passive Skills also grant: 1% increased Attack and Cast Speed with Lightning Skills,201731102,explicit fractured,Added Small Passive Skills also grant: {0}% increased Attack and Cast Speed with Lightning Skills
202275580,local_item_stats_are_doubled_in_breach,reproduced,,1,ModItemExclusive,ItemStatsDoubledInBreachImplicit,Properties are doubled while in a Breach,202275580,implicit,Properties are doubled while in a Breach
204458505,enemy_hits_%_chance_to_treat_elemental_resistances_as_90%,reproduced,,2,ModItemExclusive,TreatResistancesAsMaxChanceUnique__1,(30-40)% chance for Elemental Resistances to count as being 90% against Enemy Hits,204458505,explicit implicit,{0}% chance for Elemental Resistances to count as being 90% against Enemy Hits
204466006,additional_damage_rolls_while_on_low_life,reproduced,,1,ModFoulborn,MutatedUniqueRing9ExtraDamageRollsWhileLowLife,Your Damage with Hits is Lucky while on Low Life,204466006,explicit,Your Damage with Hits is Lucky while on Low Life
205619502,local_display_trigger_level_1_blood_rage_on_kill_chance_%,reproduced,,2,ModVeiled,JunMasterVeiledLocalAttackSpeedAndLocalDisplayTriggerLevel1BloodRageOnKillChance_,15% chance to Trigger Level 1 Blood Rage when you Kill an Enemy,205619502,crafted explicit fractured,{0}% chance to Trigger Level 1 Blood Rage when you Kill an Enemy
206243615,no_energy_shield_recovery,reproduced,,1,ModItemExclusive,CannotGainEnergyShieldUnique__1,Cannot gain Energy Shield,206243615,explicit,Cannot gain Energy Shield
207573834,local_flask_unholy_might_during_flask_effect,reproduced,,1,ModItemExclusive,LocalFlaskUnholyMightUnique__1,Unholy Might during Effect,207573834,explicit,Unholy Might during Effect
207863952,local_display_socketed_vaal_skills_store_uses_+,reproduced,,1,ModItemExclusive,LocalVaalUsesToStoreUnique__1,Socketed Vaal Skills have 20% chance to regain consumed Souls when used,207863952,explicit,Socketed Vaal Skills have 20% chance to regain consumed Souls when used
208447205,local_display_trigger_level_x_smoke_cloud_on_trap_triggered,reproduced,,2,ModItemExclusive,CreateSmokeCloudWhenTrapTriggeredUnique__1,Trigger Level 20 Fog of War when your Trap is triggered,208447205,explicit implicit,Trigger Level {0} Fog of War when your Trap is triggered
209056835,trigger_socketed_spell_on_attack_%,reproduced,,1,ModItemExclusive,TriggerSocketedSpellOnAttackUnique__1,"Trigger a Socketed Spell when you Attack with this Weapon, with a 0.25 second Cooldown",209056835,explicit,"{0}% chance to Trigger a Socketed Spell when you Attack with this Weapon, with a 0.25 second Cooldown"
209387074,enemy_shock_on_kill,reproduced,,1,ModItemExclusive,ShockOnKillUnique__1,Enemies you kill are Shocked,209387074,explicit,Enemies you kill are Shocked
210067635,local_attack_speed_+%,reproduced,,164,ModCorrupted,V2LocalIncreasedAttackSpeedBowCorrupted,(3-5)% increased Attack Speed,210067635,crafted enchant explicit fractured implicit,{0}% increased Attack Speed
211381198,energy_shield_gain_per_target,reproduced,,3,ModItemExclusive,EnergyShieldGainedFromEnemyDeathUnique__1,Gain (15-25) Energy Shield per Enemy Hit with Attacks,211381198,explicit fractured implicit,Gain {0} Energy Shield per Enemy Hit with Attacks
211836731,local_all_sockets_are_white,reproduced,,2,ModItemExclusive,AllSocketsAreWhiteUniqueRing25,All Sockets are White,211836731,explicit,All Sockets are White
212648555,local_affliction_notable_insulated,reproduced,,1,ModJewelCluster,AfflictionNotableInsulated,1 Added Passive Skill is Insulated,212648555,explicit fractured,1 Added Passive Skill is Insulated
213733864,base_life_leech_from_spell_damage_permyriad,explained,number not in the capture (recipe output the site lacks),1,ModJewel,SpellLifeLeechPermyriadJewel,0.2% of Spell Damage Leeched as Life,,not in capture,
214001793,damage_over_time_+%_while_dual_wielding,reproduced,,2,ModJewelAbyss,AbyssDamageOverTimeWhileDualWieldingJewel1,(10-14)% increased Damage over Time while Dual Wielding,214001793,explicit fractured,{0}% increased Damage over Time while Dual Wielding
214031493,mine_critical_strike_chance_+%,reproduced,,1,ModJewel,MineCritChanceJewel,(12-16)% increased Critical Strike Chance with Mines,214031493,explicit fractured,{0}% increased Critical Strike Chance with Mines
214242256,necrotic_footprints_from_item,reproduced,,1,ModItemExclusive,ItemNecroticFootprintsUnique__1s,Necrotic Footprints,214242256,explicit,Necrotic Footprints
215124030,attack_minimum_added_cold_damage_with_bows|attack_maximum_added_cold_damage_with_bows,reproduced,,11,ModCorrupted,V2AddedColdDamageToBowAttacksCorrupted1__,(8-11) to (18-21) Added Cold Damage with Bow Attacks,215124030,explicit fractured implicit,{0} to {1} Added Cold Damage with Bow Attacks
215242678,explode_enemies_for_500%_life_as_fire_on_kill_%_chance,reproduced,,1,ModJewelCharm,AnimalCharmFireExplode,"Enemies you or your Totems Kill have 1% chance to Explode, dealing 250% of their maximum Life as Fire Damage",215242678,explicit,"Enemies you or your Totems Kill have {0}% chance to Explode, dealing 250% of their maximum Life as Fire Damage"
215346464,shock_prevention_ms_when_shocked,reproduced,,1,ModItemExclusive,ShockImmunityWhenShockedUniqueGlovesStrInt1,You cannot be Shocked for 3 seconds after being Shocked,215346464,explicit,You cannot be Shocked for {0} second after being Shocked
215754572,local_unique_flask_spell_block_%_while_healing,reproduced,,2,ModItemExclusive,SpellBlockIncreasedDuringFlaskEffectUniqueFlask7,+(4-6)% Chance to Block Spell Damage during Effect,215754572,explicit,{0}% Chance to Block Spell Damage during Effect
215882879,local_flask_area_of_effect_+%_during_flask_effect,reproduced,,1,ModItemExclusive,FlaskIncreasedAreaOfEffectDuringEffectUnique__1_,(10-20)% increased Area of Effect during Effect,215882879,explicit,{0}% increased Area of Effect during Effect
219051355,local_extra_max_charges,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,HarvestFlaskEnchantmentMaximumChargesLoweredOnUse3_,+0 to Maximum Charges. -1 to this value when used,,not in capture,
219391121,physical_damage_%_to_add_as_lightning,reproduced,,40,ModCorrupted,V2PhysicalDamageAddedAsLightningCorrupted,Gain (8-12)% of Physical Damage as Extra Lightning Damage,219391121,explicit fractured implicit,Gain {0}% of Physical Damage as Extra Lightning Damage
220868259,impales_do_not_consume_hit_on_hit_%_chance,reproduced,,1,ModFoulborn,MutatedUniqueUniqueBow27ImpalesChanceToLastAdditionalHit,(10-15)% chance on Hitting an Enemy for all Impales on that Enemy to last for an additional Hit,220868259,explicit,{0}% chance on Hitting an Enemy for all Impales on that Enemy to last for an additional Hit
220932154,cold_damage_cannot_freeze,reproduced,,1,ModItemExclusive,ColdDamageCannotFreeze,Your Cold Damage cannot Freeze,220932154,explicit,Your Cold Damage cannot Freeze
220991810,chance_to_unnerve_on_hit_with_spells_%,reproduced,,1,ModNecropolis,NecropolisCraftingSpellUnnerveOnHit,(15-25)% chance to Unnerve Enemies for 4 seconds on Hit with Spells,220991810,explicit fractured,{0}% chance to Unnerve Enemies for 4 seconds on Hit with Spells
221309863,local_left_ring_slot_base_all_ailment_duration_on_self_+%,reproduced,,1,ModItemExclusive,ReflectedAilmentDurationOnSelfImplicitK4,Left ring slot: 30% reduced Duration of Ailments on You,221309863,implicit,Left ring slot: {0}% increased Duration of Ailments on You
221328679,summon_raging_spirit_melee_splash_fire_damage_only,reproduced,,2,ModItemExclusive,RagingSpiritFireSplashDamageUnique__1,Summoned Raging Spirits' Melee Strikes deal Fire-only Splash / Damage to Surrounding Targets,221328679,explicit implicit,Summoned Raging Spirits' Melee Strikes deal Fire-only Splash\nDamage to Surrounding Targets
221532021,life_regeneration_rate_per_minute_%_if_crit_in_past_8_seconds,reproduced,,1,ModItemExclusive,LifeRegenerationIfCrit8SecondsUnique__1,(2-2.5)% of Life Regenerated per Second if you've dealt a Critical Strike in the past 8 seconds,221532021,explicit,{0}% of Life Regenerated per Second if you've dealt a Critical Strike in the past 8 seconds
222829382,local_unique_jewel_blight_cast_speed_+%_with_40_int_in_radius,reproduced,,1,ModItemExclusive,BlightThresholdJewel_4,"With at least 40 Intelligence in Radius, Blight has 30% reduced Cast Speed",222829382,explicit,"With at least 40 Intelligence in Radius, Blight has {0}% increased Cast Speed"
223497523,base_maximum_fragile_regrowth,explained,number not in the capture (recipe output the site lacks),2,ModItemExclusive,FragileRegrowthLifeRegenerationUnique__1,,,not in capture,
223497523,base_spell_suppression_chance_150%_of_value,explained,number not in the capture (recipe output the site lacks),7,ModDelve,DelveArmourDodgeAndSpellDodge_,,,not in capture,
223497523,dummy_stat_display_nothing,explained,number not in the capture (recipe output the site lacks),3,ModExplicit,NearbyEnemiesAreBlindedInfluence1_,,,not in capture,
223497523,essence_buff_ground_fire_damage_to_deal_per_second,explained,number not in the capture (recipe output the site lacks),1,ModExplicit,BurningGroundWhileMovingEssence1,,,not in capture,
223497523,fire_damage_to_return_to_melee_attacker,explained,number not in the capture (recipe output the site lacks),3,ModItemExclusive,AttackerTakesFireDamageUniqueBodyInt2,,,not in capture,
223497523,fire_dot_multiplier_+,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,BurningArrowThresholdJewelUnique__1,,,not in capture,
223497523,ignited_enemies_explode_on_kill,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,BurningArrowThresholdJewel_2,,,not in capture,
223497523,keystone_acrobatics,explained,number not in the capture (recipe output the site lacks),5,ModExplicit,RecombinatorSpecialKeystoneAcrobatics,,,not in capture,
223497523,keystone_blood_magic,explained,number not in the capture (recipe output the site lacks),8,ModExplicit,RecombinatorSpecialKeystoneBloodMagic,,,not in capture,
223497523,local_display_socketed_gems_have_elemental_equilibrium,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,SocketedGemHasElementalEquilibriumUniqueRing25,,,not in capture,
223497523,local_unique_jewel_cold_resistance_also_grants_cold_damage_to_convert_to_chaos_%,explained,number not in the capture (recipe output the site lacks),1,ModFoulborn,MutatedUniqueJewel88UniqueJewelColdResistAlsoGrantsConvertColdToChaos,,,not in capture,
223497523,local_unique_jewel_fire_resistance_also_grants_fire_damage_to_convert_to_chaos_%,explained,number not in the capture (recipe output the site lacks),1,ModFoulborn,MutatedUniqueJewel86UniqueJewelFireResistAlsoGrantsConvertFireToChaos,,,not in capture,
223497523,local_unique_jewel_lightning_resistance_also_grants_lightning_damage_to_convert_to_chaos_%,explained,number not in the capture (recipe output the site lacks),1,ModFoulborn,MutatedUniqueJewel90UniqueJewelLightningResistAlsoGrantsConvertLightningToChaos,,,not in capture,
223497523,map_num_extra_invasion_bosses,explained,number not in the capture (recipe output the site lacks),1,ModExplicit,MapInvasionBossMasterVendorItem,,,not in capture,
223497523,off_hand_critical_strike_chance_+_per_10_es_on_shield,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,SpectralShieldThrowThresholdJewel1_,,,not in capture,
223497523,physical_damage_to_return_to_melee_attacker,explained,number not in the capture (recipe output the site lacks),32,ModExplicit,AttackerTakesDamage1,,,not in capture,
223497523,rage_grants_spell_damage_instead,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,RageCasterStatsUnique__1,,,not in capture,
223595318,local_display_socketed_non_curse_aura_gems_effect_+%,explained,number not in the capture (recipe output the site lacks),1,ModExplicit,SocketedGemsNonCurseAuraEffectEssence1,Socketed Non-Curse Aura Gems have 20% increased Aura Effect,,not in capture,
223656429,summon_arbalist_chance_to_inflict_lightning_exposure_on_hit_%,reproduced,,2,ModItemExclusive,SummonArbalistChanceToInflictLightningExposureOnHit_,Summoned Arbalists have (10-20)% chance to inflict Lightning Exposure on Hit,223656429,explicit,Summoned Arbalists have {0}% chance to inflict Lightning Exposure on Hit
223937937,attack_and_cast_speed_+%_if_havent_been_hit_recently,reproduced,,1,ModExplicit,AdditionalChanceToEvadeInfluenceMaven,(7-12)% increased Attack and Cast Speed if you haven't been Hit Recently,223937937,explicit,{0}% increased Attack and Cast Speed if you haven't been Hit Recently
224931623,eat_soul_after_hex_90%_curse_expire,reproduced,,1,ModItemExclusive,EatSoulAfterHexPercentCurseExpireUnique__1,"When 90% of your Hex's Duration Expires on an Enemy, Eat 1 Soul per Enemy Power",224931623,explicit,"When 90% of your Hex's Duration Expires on an Enemy, Eat 1 Soul per Enemy Power"
226443538,you_are_cursed_with_temporal_chains,reproduced,,1,ModScourge,HellscapeDownsideCursedWithTemporalChains1,You are Cursed with Temporal Chains,226443538,scourge,You are Cursed with Temporal Chains
226515115,arrows_from_fourth_firing_point_additional_chains,reproduced,,1,ModItemExclusive,VolleyFourthPointChainUnique__1,Arrows fired from the fourth firing points Chain +2 times,226515115,explicit,Arrows fired from the fourth firing points Chain {0} time
227523295,max_power_charges,reproduced,,22,ModCorrupted,MaxPowerChargesCorrupted,+1 to Maximum Power Charges,227523295,enchant explicit fractured implicit scourge,{0} to Maximum Power Charges
228165595,local_display_socketed_gems_supported_by_X_lesser_poison,reproduced,,15,ModExplicit,PoisonDamageSupportedUber1_,Socketed Gems are Supported by Level 16 Chance to Poison,228165595,explicit fractured implicit,Socketed Gems are Supported by Level {0} Chance to Poison
228455793,local_affliction_notable_doryanis_lesson,reproduced,,1,ModJewelCluster,AfflictionNotableDoryanisLesson_,1 Added Passive Skill is Doryani's Lesson,228455793,explicit fractured,1 Added Passive Skill is Doryani's Lesson
230941555,allow_multiple_offerings,reproduced,,1,ModItemExclusive,MultipleOfferingsAllowedUnique__1_,You can have an Offering of each type,230941555,explicit,You can have an Offering of each type
231162761,local_display_grants_skill_icestorm_level,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,IcestormUniqueStaff12,,,not in capture,
232010308,additive_lightning_damage_modifiers_apply_to_lightning_aura_effect_at_%_value,reproduced,,1,ModItemExclusive,LightningDamageModsApplyToLightningAuraEffectAtPercentUnique_1,"Increases and Reductions to Lightning Damage also apply to Effect of / Auras from Lightning Skills at (10-15)% of their value, up to a maximum of 150%",232010308,explicit,"Increases and Reductions to Lightning Damage also apply to Effect of\nAuras from Lightning Skills at {0}% of their value, up to a maximum of 150%"
232331266,attack_and_cast_speed_+%_while_you_have_depleted_physical_aegis,reproduced,,1,ModItemExclusive,AttackAndCastSpeedWithoutPhysicalAegisUnique__1,(8-15)% increased Attack and Cast Speed while Physical Aegis is depleted,232331266,explicit,{0}% increased Attack and Cast Speed while Physical Aegis is depleted
235105674,local_unique_jewel_life_recovery_rate_+%_per_10_str_allocated_in_radius,reproduced,,2,ModItemExclusive,LifeRecoveryRatePerAllocatedStrengthUnique__1_,2% increased Life Recovery Rate per 10 Strength on Allocated Passives in Radius,235105674,explicit,{0}% increased Life Recovery Rate per 10 Strength on Allocated Passives in Radius
235847153,local_unique_jewel_viper_strike_chance_to_gain_unholy_might_%_on_hit_per_poison_stack_on_enemy_with_50_dex_in_radius,reproduced,,1,ModItemExclusive,ViperStrikeThresholdJewel__2,"With at least 40 Dexterity in Radius, Viper Strike has a 10% chance per Poison on Enemy to grant Unholy Might for 4 seconds on Hit",235847153,explicit,"With at least 40 Dexterity in Radius, Viper Strike has a {0}% chance per Poison on Enemy to grant Unholy Might for 4 seconds on Hit"
237471491,local_life_and_mana_leech_from_physical_damage_permyriad,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,LifeAndManaLeechImplicitMarakethClaw1,0.8% of Physical Attack Damage Leeched as Life and Mana,,not in capture,
237513297,evasion_rating_+%_if_have_cast_dash_recently,reproduced,,1,ModItemExclusive,EvasionRatingIfUsedDashRecentlyUnique__1,(100-160)% increased Evasion Rating if you've Cast Dash recently,237513297,explicit,{0}% increased Evasion Rating if you've Cast Dash recently
240289863,critical_strike_multiplier_+_during_any_flask_effect,reproduced,,1,ModCorrupted,V2AdditionalCriticalStrikeMultiplierUnderFlaskEffectCorrupted,+(20-25)% to Critical Strike Multiplier during any Flask Effect,240289863,implicit,{0}% to Critical Strike Multiplier during any Flask Effect
240642724,apply_covered_in_ash_to_attacker_on_hit_%_vs_rare_or_unique_enemy,reproduced,,2,ModJewelCharm,AnimalCharmAshOnHittingRareUniqueEnemy1,(5-10)% chance to Cover Rare or Unique Enemies in Ash for 10 Seconds on Hit,240642724,explicit,{0}% chance to Cover Rare or Unique Enemies in Ash for 10 Seconds on Hit
240790947,off_hand_critical_strike_multiplier_+_per_10_es_on_shield,reproduced,,1,ModItemExclusive,SpectralShieldThrowThresholdJewel2,+4% to Off Hand Critical Strike Multiplier per 10 Maximum Energy Shield on Shield,240790947,explicit,{0}% to Off Hand Critical Strike Multiplier per 10 Maximum Energy Shield on Shield
240857668,elusive_effect_+%,reproduced,,26,ModEldritch,ElusiveEffectEldritchImplicit1,(6-7)% increased Elusive Effect,240857668,explicit implicit scourge,{0}% increased Elusive Effect
241251790,cannot_lose_crab_charges_if_you_have_lost_crab_charges_recently,reproduced,,2,ModItemExclusive,CannotLoseCrabBarriersIfLostRecentlyUnique__1,Cannot lose Crab Barriers if you have lost Crab Barriers Recently,241251790,explicit implicit,Cannot lose Crab Barriers if you have lost Crab Barriers Recently
241783558,local_affliction_notable_wrapped_in_flame,reproduced,,1,ModJewelCluster,AfflictionNotableWrappedinFlame_,1 Added Passive Skill is Wrapped in Flame,241783558,explicit fractured,1 Added Passive Skill is Wrapped in Flame
242161915,elemental_resistance_%_per_stackable_unique_jewel,reproduced,,1,ModItemExclusive,AllResistancePerStackableJewelUnique__1,+7% to all Elemental Resistances per Grand Spectrum,242161915,explicit,{0}% to all Elemental Resistances per Grand Spectrum
242822230,attack_minimum_added_physical_damage_if_you_have_beast_minion|attack_maximum_added_physical_damage_if_you_have_beast_minion,reproduced,,1,ModItemExclusive,AddedPhysicalDamageToAttacksBeastialMinionUnique__1,Adds (18-24) to (30-36) Physical Damage to Attacks while you have a Bestial Minion,242822230,explicit,Adds {0} to {1} Physical Damage to Attacks while you have a Bestial Minion
243713911,local_display_grants_skill_lightning_warp_level,reproduced,,1,ModItemExclusive,LightningWarpSkillUniqueOneHandAxe8,Grants Level 1 Lightning Warp Skill,243713911,explicit,Grants Level {0} Lightning Warp Skill
244239777,all_damage_taken_can_chill,reproduced,,1,ModItemExclusive,AllDamageTakenCanChillUnique__1,All Damage Taken from Hits can Chill you,244239777,explicit,All Damage Taken from Hits can Chill you
244825991,local_display_nearby_allies_have_fortify,reproduced,,1,ModItemExclusive,DisplayNearbyAlliesHaveFortifyTwoHandAxe9,Nearby Allies have +10 Fortification,244825991,explicit,Nearby Allies have {0} Fortification
247168950,minion_elemental_damage_%_to_add_as_chaos,reproduced,,2,ModItemExclusive,MinionElementalDamageAddedAsChaosUnique__1,Minions gain (15-20)% of Elemental Damage as Extra Chaos Damage,247168950,explicit implicit,Minions gain {0}% of Elemental Damage as Extra Chaos Damage
247456045,suppressed_spell_damage_bypass_energy_shield_%,reproduced,,1,ModItemExclusive,SuppressedDamageBypassEnergyShieldUnique_1,(50-100)% of Suppressed Spell Damage taken bypasses Energy Shield,247456045,explicit,{0}% of Suppressed Spell Damage taken bypasses Energy Shield
247746531,local_jewel_expansion_jewels_count_override,reproduced,,1,ModItemExclusive,ExpansionJewel3JewelSockets,Adds 3 Jewel Socket Passive Skills,247746531,explicit,Adds 1 Jewel Socket Passive Skill
248241207,local_unique_jewel_cold_resistance_also_grants_cold_damage_to_convert_to_chaos_%,reproduced,,1,ModFoulborn,MutatedUniqueJewel88UniqueJewelColdResistAlsoGrantsConvertColdToChaos,Passives granting Cold Resistance or all Elemental Resistances in Radius / also grant Cold Damage Converted to Chaos Damage at 100% of its value,248241207,explicit,Passives granting Cold Resistance or all Elemental Resistances in Radius\nalso grant Cold Damage Converted to Chaos Damage at {0}% of its value
248646071,local_display_socketed_gems_supported_by_level_x_item_quantity,reproduced,,1,ModItemExclusive,HungryLoopSupportedByItemQuantity,Socketed Gems are Supported by Level 20 Item Quantity,248646071,explicit,Socketed Gems are Supported by Level {0} Item Quantity
248838155,elemental_reflect_damage_taken_+%,reproduced,,1,ModItemExclusive,JewelImplicitReducedElementalReflect,10% reduced Reflected Elemental Damage taken,248838155,enchant explicit implicit,{0}% increased Reflected Elemental Damage taken
248982637,enemy_physical_damage_%_as_extra_fire_vs_you,reproduced,,1,ModExplicit,FireDamageAsPortionOfPhysicalDamageEssence1Inverted,Hits against you gain 10% of Physical Damage as Extra Fire Damage,248982637,explicit fractured,Hits against you gain {0}% of Physical Damage as Extra Fire Damage
249545292,critical_strikes_do_not_always_apply_non_damaging_ailments,reproduced,,1,ModItemExclusive,CriticalStrikesNotAlwaysApplyAilmentsUnique__1,Critical Strikes do not inherently inflict non-Damaging Ailments,249545292,explicit,Critical Strikes do not inherently inflict non-Damaging Ailments
249805317,cannot_take_reflected_physical_damage,reproduced,,1,ModJewelCharm,AnimalCharmPhysicalReflectImmune,Cannot take Reflected Physical Damage,249805317,explicit,Cannot take Reflected Physical Damage
250553316,area_of_effect_+%_per_enemy_killed_recently_up_to_25%,reproduced,,1,ModItemExclusive,DivergentAreaOfEffectPerEnemyKilledRecentlyCapped25Unique__1,"1% increased Area of Effect per Enemy killed recently, up to 25%",250553316,implicit,"{0}% increased Area of Effect per Enemy killed recently, up to 25%"
250876318,global_attack_speed_+%_per_green_socket_on_item,reproduced,,1,ModItemExclusive,AttackSpeedPerGreenSocketUniqueOneHandSword5,(10-14)% increased Global Attack Speed per Green Socket,250876318,explicit,{0}% increased Global Attack Speed per Green Socket
251342217,local_flask_adds_knockback_while_healing,reproduced,,2,ModFlask,FlaskBuffKnockbackWhileHealing,Adds Knockback to Melee Attacks during Effect,251342217,explicit,Adds Knockback to Melee Attacks during Effect
251446805,local_display_socketed_gems_supported_by_level_x_iron_grip,reproduced,,4,ModExplicit,LocalIncreasedPhysicalDamagePercentIronGripUber1,Socketed Gems are Supported by Level 16 Iron Grip,251446805,explicit,Socketed Gems are Supported by Level {0} Iron Grip
252194507,cast_speed_+%_during_flask_effect,reproduced,,3,ModCorrupted,V2IncreasedCastSpeedUnderFlaskEffectCorrupted,(8-12)% increased Cast Speed during any Flask Effect,252194507,explicit fractured implicit,{0}% increased Cast Speed during any Flask Effect
