# generated by scripts/base-defences.py from poe1/data/base_items.json @ e2bd511a
metadata_id,name,item_class,release_state,domain,armour_min,armour_max,evasion_min,evasion_max,energy_shield_min,energy_shield_max,ward_min,ward_max,block
Metadata/Items/Armours/Helmets/HelmetDex13,Majestic Pelt,Helmet,released,item,,,582,669,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr12,Majestic Plate,Body Armour,released,item,530,625,,,,,,,
Metadata/Items/Armours/Shields/ShieldStrDex6,Maple Round Shield,Shield,released,item,88,99,88,99,,,,,24
Metadata/Items/Armours/BodyArmours/BodyStrDex19,Marshall's Brigandine,Body Armour,released,item,627,721,627,721,,,,,
Metadata/Items/Armours/Boots/BootsStrInt9,Martyr Boots,Boots,released,item,176,203,,,35,41,,,
Metadata/Items/Armours/Gloves/GlovesStrInt9,Martyr Gloves,Gloves,released,item,176,203,,,35,41,,,
Metadata/Items/Armours/Boots/BootsStrInt3,Mesh Boots,Boots,released,item,51,64,,,11,14,,,
Metadata/Items/Armours/Gloves/GlovesStrInt3,Mesh Gloves,Gloves,released,item,58,67,,,12,14,,,
Metadata/Items/Armours/Helmets/HelmetInt10,Mind Cage,Helmet,released,item,,,,,73,84,,,
Metadata/Items/Armours/Shields/ShieldDexInt12,Mirrored Spiked Shield,Shield,released,item,,,151,174,31,35,,,26
Metadata/Items/Armours/Helmets/HelmetInt12,Moonlit Circlet,Helmet,released,item,,,,,87,100,,,
Metadata/Items/Armours/Shields/ShieldStrInt12,Mosaic Kite Shield,Shield,released,item,147,169,,,30,34,,,24
Metadata/Items/Armours/Boots/BootsDexInt9,Murder Boots,Boots,released,item,,,185,213,18,21,,,
Metadata/Items/Armours/Gloves/GlovesDexInt8,Murder Mitts,Gloves,released,item,,,121,139,25,28,,,
Metadata/Items/Armours/Helmets/HelmetInt8,Necromancer Circlet,Helmet,released,item,,,,,55,64,,,
Metadata/Items/Armours/BodyArmours/BodyInt14,Necromancer Silks,Body Armour,released,item,,,,,123,147,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt20,Necrotic Armour,Body Armour,released,item,,,723,831,145,167,,,
Metadata/Items/Armours/Gloves/GlovesIntRitual3,Nexus Gloves,Gloves,released,item,,,,,47,54,,,
Metadata/Items/Armours/Helmets/HelmetStrDex10,Nightmare Bascinet,Helmet,released,item,162,187,233,268,,,,,
Metadata/Items/Armours/BodyArmours/BodyInt19,Nightweave Robe,Body Armour,released,item,,,,,227,260,,,
Metadata/Items/Armours/Boots/BootsIntRitual2,Nightwind Slippers,Boots,released,item,,,,,34,39,,,
Metadata/Items/Armours/Helmets/HelmetDex6,Noble Tricorne,Helmet,released,item,,,232,266,,,,,
Metadata/Items/Armours/Boots/BootsDex4,Nubuck Boots,Boots,released,item,,,113,126,,,,,
Metadata/Items/Armours/Gloves/GlovesDex4,Nubuck Gloves,Gloves,released,item,,,109,122,,,,,
Metadata/Items/Armours/Shields/ShieldDex7,Oak Buckler,Shield,released,item,,,220,259,,,,,26
Metadata/Items/Armours/BodyArmours/BodyInt15,Occultist's Vestment,Body Armour,released,item,,,,,137,151,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt4,Oiled Coat,Body Armour,released,item,,,124,146,28,33,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt2,Oiled Vest,Body Armour,released,item,,,54,70,14,18,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt10,Ornate Ringmail,Body Armour,released,item,259,298,,,54,62,,,
Metadata/Items/Armours/Shields/ShieldDexInt5,Ornate Spiked Shield,Shield,released,item,,,120,135,26,29,,,24
Metadata/Items/Armours/BodyArmours/BodyDexInt3,Padded Jacket,Body Armour,released,item,,,102,128,24,29,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt1,Padded Vest,Body Armour,released,item,,,27,38,9,13,,,
Metadata/Items/Armours/Shields/ShieldDex3,Painted Buckler,Shield,released,item,,,123,154,,,,,24
Metadata/Items/Armours/Shields/ShieldStr7,Painted Tower Shield,Shield,released,item,188,216,,,,,,,25
Metadata/Items/Armours/Boots/BootsStrInt10,Paladin Boots,Boots,released,item,205,236,,,41,47,,,
Metadata/Items/Armours/Helmets/HelmetStrInt12,Paladin Crown,Helmet,released,item,308,355,,,62,71,,,
Metadata/Items/Armours/Gloves/GlovesStrInt10,Paladin Gloves,Gloves,released,item,205,236,,,41,47,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt19,Paladin's Hauberk,Body Armour,released,item,627,721,,,126,145,,,
Metadata/Items/Armours/Helmets/HelmetStrDexRitual3,Penitent Mask,Helmet,released,item,185,212,185,212,,,,,
Metadata/Items/Armours/Boots/BootsDexInt11,Phantom Boots,Boots,released,item,,,205,236,41,47,,,
Metadata/Items/Armours/Gloves/GlovesDexInt10,Phantom Mitts,Gloves,released,item,,,205,236,41,47,,,
Metadata/Items/Armours/Helmets/HelmetStrDex9,Pig-Faced Bascinet,Helmet,released,item,229,263,159,183,,,,,
Metadata/Items/Armours/Shields/ShieldDex2,Pine Buckler,Shield,released,item,,,51,66,,,,,26
Metadata/Items/Armours/Shields/ShieldStr17,Pinnacle Tower Shield,Shield,released,item,467,537,,,,,,,25
Metadata/Items/Armours/Helmets/HelmetDexInt2,Plague Mask,Helmet,released,item,,,29,38,7,10,,,
Metadata/Items/Armours/Shields/ShieldStrInt1,Plank Kite Shield,Shield,released,item,18,25,,,5,7,,,22
Metadata/Items/Armours/BodyArmours/BodyStr1,Plate Vest,Body Armour,released,item,19,27,,,,,,,
Metadata/Items/Armours/Gloves/GlovesStr2,Plated Gauntlets,Gloves,released,item,39,50,,,,,,,
Metadata/Items/Armours/Boots/BootsStr3,Plated Greaves,Boots,released,item,77,96,,,,,,,
Metadata/Items/Armours/Shields/ShieldDexE2,Polar Buckler,Shield,released,item,,,123,142,,,,,26
Metadata/Items/Armours/Shields/ShieldDexInt8,Polished Spiked Shield,Shield,released,item,,,111,131,23,27,,,26
Metadata/Items/Armours/Helmets/HelmetStrInt10,Praetor Crown,Helmet,released,item,161,185,,,51,58,,,
Metadata/Items/Armours/Gloves/GlovesStr10,Precursor Gauntlets,Gloves,released,item,307,353,,,,,,,
Metadata/Items/Armours/Boots/BootsStr10,Precursor Greaves,Boots,released,item,307,353,,,,,,,
Metadata/Items/Armours/Gloves/GlovesStrRitual1,Preserving Gauntlets,Gloves,released,item,35,41,,,,,,,
Metadata/Items/Armours/Helmets/HelmetStrInt9,Prophet Crown,Helmet,released,item,224,258,,,32,37,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt8,Quilted Jacket,Body Armour,released,item,,,221,248,46,52,,,
Metadata/Items/Armours/Helmets/HelmetDexInt6,Raven Mask,Helmet,released,item,,,104,119,22,25,,,
Metadata/Items/Armours/Boots/BootsDex1,Rawhide Boots,Boots,released,item,,,13,18,,,,,
Metadata/Items/Armours/Gloves/GlovesDex1,Rawhide Gloves,Gloves,released,item,,,13,18,,,,,
Metadata/Items/Armours/Shields/ShieldStr3,Rawhide Tower Shield,Shield,released,item,53,66,,,,,,,26
Metadata/Items/Armours/Helmets/HelmetStr6,Reaver Helmet,Helmet,released,item,198,233,,,,,,,
Metadata/Items/Armours/Shields/ShieldDexInt6,Redwood Spiked Shield,Shield,released,item,,,142,163,30,34,,,24
Metadata/Items/Armours/Helmets/HelmetDexInt8,Regicide Mask,Helmet,released,item,,,141,158,29,32,,,
Metadata/Items/Armours/Boots/BootsStr4,Reinforced Greaves,Boots,released,item,109,120,,,,,,,
Metadata/Items/Armours/Shields/ShieldStrInt3,Reinforced Kite Shield,Shield,released,item,65,81,,,15,18,,,26
Metadata/Items/Armours/Shields/ShieldStr6,Reinforced Tower Shield,Shield,released,item,237,260,,,,,,,23
Metadata/Items/Armours/Boots/BootsStrInt2,Ringmail Boots,Boots,released,item,25,32,,,6,8,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt3,Ringmail Coat,Body Armour,released,item,97,121,,,22,28,,,
Metadata/Items/Armours/Gloves/GlovesStrInt2,Ringmail Gloves,Gloves,released,item,35,46,,,8,10,,,
Metadata/Items/Armours/Boots/BootsStrInt4,Riveted Boots,Boots,released,item,65,71,,,14,15,,,
Metadata/Items/Armours/Gloves/GlovesStrInt4,Riveted Gloves,Gloves,released,item,67,77,,,14,16,,,
Metadata/Items/Armours/Shields/ShieldStrDex1,Rotted Round Shield,Shield,released,item,13,18,13,18,,,,,24
Metadata/Items/Armours/Helmets/HelmetStr10,Royal Burgonet,Helmet,released,item,377,434,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr20,Royal Plate,Body Armour,released,item,1183,1360,,,,,,,
Metadata/Items/Armours/Helmets/HelmetExpedition2,Runic Crest,Helmet,released,item,,,,,,,97,112,
Metadata/Items/Armours/Helmets/HelmetExpedition3,Runic Crown,Helmet,released,item,,,,,,,164,189,
Metadata/Items/Armours/Gloves/GlovesExpedition2,Runic Gages,Gloves,released,item,,,,,,,62,71,
Metadata/Items/Armours/Gloves/GlovesExpedition3,Runic Gauntlets,Gloves,released,item,,,,,,,102,117,
Metadata/Items/Armours/Gloves/GlovesExpedition1,Runic Gloves,Gloves,released,item,,,,,,,24,28,
Metadata/Items/Armours/Boots/BootsExpedition1,Runic Greaves,Boots,released,item,,,,,,,24,28,
Metadata/Items/Armours/Helmets/HelmetExpedition1,Runic Helm,Helmet,released,item,,,,,,,41,47,
Metadata/Items/Armours/Boots/BootsExpedition3,Runic Sabatons,Boots,released,item,,,,,,,102,117,
Metadata/Items/Armours/Boots/BootsExpedition2,Runic Sollerets,Boots,released,item,,,,,,,62,71,
Metadata/Items/Armours/Helmets/HelmetStrInt1,Rusted Coif,Helmet,released,item,16,22,,,5,7,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt20,Sacred Chainmail,Body Armour,released,item,723,831,,,145,167,,,
Metadata/Items/Armours/BodyArmours/BodyStrDexInt1,Sacrificial Garb,Body Armour,released,item,329,378,329,378,67,77,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt16,Sadist Garb,Body Armour,released,item,,,427,491,93,107,,,
Metadata/Items/Armours/Gloves/GlovesInt10,Sage Gloves,Gloves,released,item,,,,,62,71,,,
Metadata/Items/Armours/Boots/BootsInt10,Sage Slippers,Boots,released,item,,,,,62,71,,,
Metadata/Items/Armours/BodyArmours/BodyInt8,Sage's Robe,Body Armour,released,item,,,,,79,90,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt16,Saint's Hauberk,Body Armour,released,item,443,496,,,76,85,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt17,Saintly Chainmail,Body Armour,released,item,401,461,,,96,110,,,
Metadata/Items/Armours/Helmets/HelmetStrDex2,Sallet,Helmet,released,item,37,48,37,48,,,,,
Metadata/Items/Armours/Gloves/GlovesInt6,Samite Gloves,Gloves,released,item,,,,,32,37,,,
Metadata/Items/Armours/Boots/BootsInt6,Samite Slippers,Boots,released,item,,,,,30,35,,,
Metadata/Items/Armours/Helmets/HelmetStr8,Samnite Helmet,Helmet,released,item,276,325,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt18,Sanguine Raiment,Body Armour,released,item,,,545,627,110,127,,,
Metadata/Items/Armours/Gloves/GlovesInt5,Satin Gloves,Gloves,released,item,,,,,28,33,,,
Metadata/Items/Armours/Boots/BootsInt5,Satin Slippers,Boots,released,item,,,,,26,30,,,
Metadata/Items/Armours/BodyArmours/BodyInt13,Savant's Robe,Body Armour,released,item,,,,,115,132,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex3,Scale Doublet,Body Armour,released,item,97,121,97,121,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex1,Scale Vest,Body Armour,released,item,27,38,27,38,,,,,
Metadata/Items/Armours/Helmets/HelmetDexInt1,Scare Mask,Helmet,released,item,,,13,18,4,6,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt5,Scarlet Raiment,Body Armour,released,item,,,156,180,34,39,,,
Metadata/Items/Armours/Shields/ShieldStrDex4,Scarlet Round Shield,Shield,released,item,87,100,87,100,,,,,26
Metadata/Items/Armours/Boots/BootsInt4,Scholar Boots,Boots,released,item,,,,,23,25,,,
Metadata/Items/Armours/BodyArmours/BodyInt3,Scholar's Robe,Body Armour,released,item,,,,,43,53,,,
Metadata/Items/Armours/Helmets/HelmetStrDex5,Secutor Helm,Helmet,released,item,98,116,98,116,,,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt13,Sentinel Jacket,Body Armour,released,item,,,330,370,67,76,,,
Metadata/Items/Armours/Boots/BootsStrDex5,Serpentscale Boots,Boots,released,item,76,90,76,90,,,,,
Metadata/Items/Armours/Gloves/GlovesStrDex5,Serpentscale Gauntlets,Gloves,released,item,78,87,78,87,,,,,
Metadata/Items/Armours/BodyArmours/BodyDex1,Shabby Jerkin,Body Armour,released,item,,,29,41,,,,,
Metadata/Items/Armours/Boots/BootsDexInt4,Shackled Boots,Boots,released,item,,,62,71,13,15,,,
Metadata/Items/Armours/Boots/BootsDex7,Shagreen Boots,Boots,released,item,,,180,216,,,,,
Metadata/Items/Armours/Gloves/GlovesDex7,Shagreen Gloves,Gloves,released,item,,,177,212,,,,,
Metadata/Items/Armours/Shields/ShieldStr13,Shagreen Tower Shield,Shield,released,item,261,308,,,,,,,26
Metadata/Items/Armours/Boots/BootsDex6,Sharkskin Boots,Boots,released,item,,,145,171,,,,,
Metadata/Items/Armours/Gloves/GlovesDex6,Sharkskin Gloves,Gloves,released,item,,,148,163,,,,,
Metadata/Items/Armours/BodyArmours/BodyDex13,Sharkskin Tunic,Body Armour,released,item,,,559,643,,,,,
Metadata/Items/Armours/Helmets/HelmetStr7,Siege Helmet,Helmet,released,item,237,272,,,,,,,
Metadata/Items/Armours/Gloves/GlovesInt3,Silk Gloves,Gloves,released,item,,,,,18,23,,,
Metadata/Items/Armours/BodyArmours/BodyInt6,Silk Robe,Body Armour,released,item,,,,,69,80,,,
Metadata/Items/Armours/Boots/BootsInt3,Silk Slippers,Boots,released,item,,,,,17,21,,,
Metadata/Items/Armours/BodyArmours/BodyInt4,Silken Garb,Body Armour,released,item,,,,,56,64,,,
Metadata/Items/Armours/Helmets/HelmetDex8,Silken Hood,Helmet,released,item,,,346,381,,,,,
Metadata/Items/Armours/BodyArmours/BodyInt2,Silken Vest,Body Armour,released,item,,,,,30,38,,,
Metadata/Items/Armours/BodyArmours/BodyInt9,Silken Wrap,Body Armour,released,item,,,,,86,104,,,
Metadata/Items/Armours/BodyArmours/BodyInt1,Simple Robe,Body Armour,released,item,,,,,14,20,,,
Metadata/Items/Armours/Helmets/HelmetDex9,Sinner Tricorne,Helmet,released,item,,,369,425,,,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt9,Sleek Coat,Body Armour,released,item,,,243,287,51,60,,,
Metadata/Items/Armours/Boots/BootsDex9,Slink Boots,Boots,released,item,,,246,283,,,,,
Metadata/Items/Armours/Gloves/GlovesDex9,Slink Gloves,Gloves,released,item,,,242,278,,,,,
Metadata/Items/Armours/Helmets/HelmetInt9,Solaris Circlet,Helmet,released,item,,,,,60,68,,,
Metadata/Items/Armours/Boots/BootsStrInt6,Soldier Boots,Boots,released,item,88,99,,,18,20,,,
Metadata/Items/Armours/Gloves/GlovesStrInt6,Soldier Gloves,Gloves,released,item,92,103,,,19,21,,,
Metadata/Items/Armours/Helmets/HelmetStrInt2,Soldier Helmet,Helmet,released,item,34,45,,,8,11,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex6,Soldier's Brigandine,Body Armour,released,item,178,210,178,210,,,,,
Metadata/Items/Armours/Boots/BootsInt9,Sorcerer Boots,Boots,released,item,,,,,51,59,,,
Metadata/Items/Armours/Gloves/GlovesInt9,Sorcerer Gloves,Gloves,released,item,,,,,49,57,,,
Metadata/Items/Armours/Helmets/HelmetStrDexRitual1,Sorrow Mask,Helmet,released,item,42,49,42,49,,,,,
Metadata/Items/Armours/Shields/ShieldDexInt9,Sovereign Spiked Shield,Shield,released,item,,,195,218,40,45,,,24
Metadata/Items/Armours/BodyArmours/BodyInt11,Spidersilk Robe,Body Armour,released,item,,,,,101,117,,,
Metadata/Items/Armours/Shields/ShieldDexInt1,Spiked Bundle,Shield,released,item,,,13,18,4,6,,,24
Metadata/Items/Armours/Gloves/GlovesAtlasStr,Spiked Gloves,Gloves,released,item,220,253,,,,,,,
Metadata/Items/Armours/Shields/ShieldStrDex7,Spiked Round Shield,Shield,released,item,102,120,102,120,,,,,27
Metadata/Items/Armours/Shields/ShieldStrDex11,Spiny Round Shield,Shield,released,item,154,177,154,177,,,,,27
Metadata/Items/Armours/Shields/ShieldStrDex5,Splendid Round Shield,Shield,released,item,75,86,75,86,,,,,25
Metadata/Items/Armours/Shields/ShieldStr1,Splintered Tower Shield,Shield,released,item,9,12,,,,,,,24
Metadata/Items/Armours/Boots/BootsDex8,Stealth Boots,Boots,released,item,,,220,253,,,,,
Metadata/Items/Armours/Gloves/GlovesDex8,Stealth Gloves,Gloves,released,item,,,231,265,,,,,
Metadata/Items/Armours/Helmets/HelmetInt7,Steel Circlet,Helmet,released,item,,,,,49,55,,,
Metadata/Items/Armours/Gloves/GlovesStr4,Steel Gauntlets,Gloves,released,item,116,127,,,,,,,
Metadata/Items/Armours/Boots/BootsStr2,Steel Greaves,Boots,released,item,32,42,,,,,,,
Metadata/Items/Armours/Shields/ShieldStrInt7,Steel Kite Shield,Shield,released,item,146,167,,,30,35,,,26
Metadata/Items/Armours/Boots/BootsStrDex4,Steelscale Boots,Boots,released,item,65,75,65,75,,,,,
Metadata/Items/Armours/Gloves/GlovesStrDex4,Steelscale Gauntlets,Gloves,released,item,65,75,65,75,,,,,
Metadata/Items/Armours/Boots/BootsDexRitual3,Stormrider Boots,Boots,released,item,,,236,271,,,,,
Metadata/Items/Armours/Boots/BootsDexInt2,Strapped Boots,Boots,released,item,,,30,39,7,9,,,
Metadata/Items/Armours/BodyArmours/BodyDex2,Strapped Leather,Body Armour,released,item,,,98,127,,,,,
Metadata/Items/Armours/Gloves/GlovesDexInt2,Strapped Mitts,Gloves,released,item,,,30,39,7,9,,,
Metadata/Items/Armours/Shields/ShieldStrDex3,Studded Round Shield,Shield,released,item,46,58,46,58,,,,,27
Metadata/Items/Armours/Shields/ShieldIntE2,Subsuming Spirit Shield,Shield,released,item,,,,,25,29,,,24
Metadata/Items/Armours/BodyArmours/BodyDex6,Sun Leather,Body Armour,released,item,,,324,382,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr10,Sun Plate,Body Armour,released,item,451,506,,,,,,,
Metadata/Items/Armours/Helmets/HelmetInt13,Sunfire Circlet,Helmet,released,item,,,,,101,116,,,
Metadata/Items/Armours/BodyArmours/BodyDex18,Supreme Leather,Body Armour,released,item,,,894,1028,,,,,
Metadata/Items/Armours/Shields/ShieldDexInt13,Supreme Spiked Shield,Shield,released,item,,,242,278,49,57,,,24
Metadata/Items/Armours/BodyArmours/BodyDex20,Syndicate's Garb,Body Armour,released,item,,,1205,1386,,,,,
Metadata/Items/Armours/Shields/ShieldInt4,Tarnished Spirit Shield,Shield,released,item,,,,,21,25,,,24
Metadata/Items/Armours/Shields/ShieldStrDex10,Teak Round Shield,Shield,released,item,131,146,131,146,,,,,24
Metadata/Items/Armours/BodyArmours/BodyDex7,Thief's Garb,Body Armour,released,item,,,353,396,,,,,
Metadata/Items/Armours/Shields/ShieldInt11,Thorium Spirit Shield,Shield,released,item,,,,,54,62,,,25
Metadata/Items/Armours/Gloves/GlovesStrRitual3,Thwarting Gauntlets,Gloves,released,item,236,271,,,,,,,
Metadata/Items/Armours/Gloves/GlovesDexRitual1,Tinker Gloves,Gloves,released,item,,,35,41,,,,,
Metadata/Items/Armours/Gloves/GlovesStr9,Titan Gauntlets,Gloves,released,item,242,278,,,,,,,
Metadata/Items/Armours/Boots/BootsStr9,Titan Greaves,Boots,released,item,241,278,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr18,Titan Plate,Body Armour,released,item,877,1009,,,,,,,
Metadata/Items/Armours/Shields/ShieldInt16,Titanium Spirit Shield,Shield,released,item,,,,,67,77,,,25
Metadata/Items/Armours/Helmets/HelmetInt3,Torture Cage,Helmet,released,item,,,,,20,25,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt19,Torturer Garb,Body Armour,released,item,,,627,721,126,145,,,
Metadata/Items/Armours/Helmets/HelmetDexInt14,Torturer's Mask,Helmet,released,item,,,355,409,71,82,,,
Metadata/Items/Armours/Shields/ShieldIntE3,Transfer-attuned Spirit Shield,Shield,released,item,,,,,39,45,,,26
Metadata/Items/Armours/Boots/BootsDexInt5,Trapper Boots,Boots,released,item,,,74,85,16,18,,,
Metadata/Items/Armours/Gloves/GlovesDexInt4,Trapper Mitts,Gloves,released,item,,,65,77,14,16,,,
Metadata/Items/Armours/Gloves/GlovesDexRitual3,Trapsetter Gloves,Gloves,released,item,,,236,271,,,,,
Metadata/Items/Armours/Helmets/HelmetInt4,Tribal Circlet,Helmet,released,item,,,,,28,33,,,
Metadata/Items/Armours/Helmets/HelmetDex2,Tricorne,Helmet,released,item,,,53,69,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex17,Triumphant Lamellar,Body Armour,released,item,380,437,477,549,,,,,
Metadata/Items/Armours/Shields/ShieldInt1,Twig Spirit Shield,Shield,released,item,,,,,6,8,,,22
Metadata/Items/Armours/BodyArmours/BodyInt20,Twilight Regalia,Body Armour,released,item,,,,,262,302,,,
Metadata/Items/Armours/Boots/BootsAtlas1,Two-Toned Boots,Boots,released,item,,,126,145,26,30,,,
Metadata/Items/Armours/Boots/BootsAtlas2,Two-Toned Boots,Boots,released,item,126,145,126,145,,,,,
Metadata/Items/Armours/Boots/BootsAtlas3,Two-Toned Boots,Boots,released,item,126,145,,,26,30,,,
Metadata/Items/Armours/Helmets/HelmetDex7,Ursine Pelt,Helmet,released,item,,,276,325,,,,,
Metadata/Items/Armours/Shields/ShieldDex14,Vaal Buckler,Shield,released,item,,,330,379,,,,,27
Metadata/Items/Armours/Gloves/GlovesStr8,Vaal Gauntlets,Gloves,released,item,232,266,,,,,,,
Metadata/Items/Armours/Boots/BootsStr8,Vaal Greaves,Boots,released,item,220,253,,,,,,,
Metadata/Items/Armours/Helmets/HelmetDexInt10,Vaal Mask,Helmet,released,item,,,207,239,37,43,,,
Metadata/Items/Armours/BodyArmours/BodyInt17,Vaal Regalia,Body Armour,released,item,,,,,171,197,,,
Metadata/Items/Armours/Shields/ShieldInt14,Vaal Spirit Shield,Shield,released,item,,,,,56,64,,,24
Metadata/Items/Armours/BodyArmours/BodyDexInt14,Varnished Coat,Body Armour,released,item,,,387,434,79,89,,,
Metadata/Items/Armours/Boots/BootsDex11,Velour Boots,Boots,released,item,,,359,413,,,,,
Metadata/Items/Armours/Gloves/GlovesDex11,Velour Gloves,Gloves,released,item,,,359,413,,,,,
Metadata/Items/Armours/Gloves/GlovesInt2,Velvet Gloves,Gloves,released,item,,,,,10,13,,,
Metadata/Items/Armours/Boots/BootsInt2,Velvet Slippers,Boots,released,item,,,,,8,11,,,
Metadata/Items/Armours/Helmets/HelmetInt1,Vine Circlet,Helmet,released,item,,,,,7,10,,,
Metadata/Items/Armours/Helmets/HelmetStrDex3,Visored Sallet,Helmet,released,item,64,80,64,80,,,,,
Metadata/Items/Armours/Shields/ShieldInt7,Walnut Spirit Shield,Shield,released,item,,,,,32,38,,,24
Metadata/Items/Armours/Shields/ShieldDex5,War Buckler,Shield,released,item,,,169,194,,,,,26
Metadata/Items/Armours/BodyArmours/BodyStr4,War Plate,Body Armour,released,item,216,248,,,,,,,
Metadata/Items/Armours/Boots/BootsInt11,Warlock Boots,Boots,released,item,,,,,72,83,,,
Metadata/Items/Armours/Gloves/GlovesInt11,Warlock Gloves,Gloves,released,item,,,,,72,83,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt6,Waxed Garb,Body Armour,released,item,,,178,205,38,44,,,
Metadata/Items/Armours/BodyArmours/BodyInt16,Widowsilk Robe,Body Armour,released,item,,,,,157,181,,,
Metadata/Items/Armours/BodyArmours/BodyDex4,Wild Leather,Body Armour,released,item,,,255,306,,,,,
Metadata/Items/Armours/Boots/BootsDexRitual2,Windbreak Boots,Boots,released,item,,,164,189,,,,,
Metadata/Items/Armours/Helmets/HelmetDexIntRitual2,Winter Crown,Helmet,released,item,,,122,140,25,29,,,
Metadata/Items/Armours/Helmets/HelmetDex4,Wolf Pelt,Helmet,released,item,,,150,172,,,,,
Metadata/Items/Armours/Gloves/GlovesInt1,Wool Gloves,Gloves,released,item,,,,,5,7,,,
Metadata/Items/Armours/Boots/BootsInt1,Wool Shoes,Boots,released,item,,,,,5,7,,,
Metadata/Items/Armours/Boots/BootsDexInt1,Wrapped Boots,Boots,released,item,,,12,17,4,5,,,
Metadata/Items/Armours/Gloves/GlovesDexInt1,Wrapped Mitts,Gloves,released,item,,,11,15,3,5,,,
Metadata/Items/Armours/Boots/BootsStrDex6,Wyrmscale Boots,Boots,released,item,92,103,92,103,,,,,
Metadata/Items/Armours/BodyArmours/BodyStrDex8,Wyrmscale Doublet,Body Armour,released,item,210,236,210,236,,,,,
Metadata/Items/Armours/Gloves/GlovesStrDex6,Wyrmscale Gauntlets,Gloves,released,item,88,104,88,104,,,,,
Metadata/Items/Armours/Boots/BootsStrDex10,Wyvernscale Boots,Boots,released,item,205,236,205,236,,,,,
Metadata/Items/Armours/Gloves/GlovesStrDex10,Wyvernscale Gauntlets,Gloves,released,item,205,236,205,236,,,,,
Metadata/Items/Armours/Shields/ShieldInt2,Yew Spirit Shield,Shield,released,item,,,,,11,14,,,24
Metadata/Items/Armours/Boots/BootsStrInt5,Zealot Boots,Boots,released,item,73,87,,,15,18,,,
Metadata/Items/Armours/Gloves/GlovesStrInt5,Zealot Gloves,Gloves,released,item,78,92,,,16,19,,,
Metadata/Items/Armours/Helmets/HelmetStrInt6,Zealot Helmet,Helmet,released,item,119,137,,,25,29,,,
Metadata/Items/Armours/BodyArmours/BodyDex16,Zodiac Leather,Body Armour,released,item,,,854,982,,,,,
