# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
array,template,items,lines,kinds,flags,example
explicitMods,Unaffected by Shocked Ground,7,7,object:7,,Unaffected by Shocked Ground
explicitMods,Uses both hand slots,7,7,object:7,,Uses both hand slots
explicitMods,Weapon: (#-#)% increased Spell Critical Strike Chance,7,7,object:6;string:1,,Weapon: (80-89)% increased Spell Critical Strike Chance
explicitMods,Will be Consumed when you reach #% of Life\nto grant Shade Form for # seconds,7,7,object:7,,Will be Consumed when you reach 25% of Life\nto grant Shade Form for 3 seconds
explicitMods,You and your Minions take #% reduced Reflected Physical Damage,7,7,object:7,,You and your Minions take 41% reduced Reflected Physical Damage
explicitMods,You can only Socket Corrupted Gems in this item,7,7,object:7,,You can only Socket Corrupted Gems in this item
explicitMods,You cannot be Chilled for # seconds after being Chilled,7,7,object:7,,You cannot be Chilled for 3 seconds after being Chilled
explicitMods,You cannot be Frozen for # seconds after being Frozen,7,7,object:7,,You cannot be Frozen for 3 seconds after being Frozen
explicitMods,You cannot be Ignited for # seconds after being Ignited,7,7,object:7,,You cannot be Ignited for 3 seconds after being Ignited
explicitMods,You cannot be Shocked for # seconds after being Shocked,7,7,object:7,,You cannot be Shocked for 3 seconds after being Shocked
explicitMods,You cannot be Shocked while at maximum Endurance Charges,7,7,object:7,,You cannot be Shocked while at maximum Endurance Charges
explicitMods,You gain Onslaught for # seconds on Critical Strike,7,7,object:7,,You gain Onslaught for 4 seconds on Critical Strike
explicitMods,You grant # Frenzy Charges to allies on Death,7,7,object:7,,You grant 5 Frenzy Charges to allies on Death
explicitMods,You have Culling Strike against Cursed Enemies,7,7,object:7,,You have Culling Strike against Cursed Enemies
explicitMods,You have no Armour or Maximum Energy Shield,7,7,object:7,,You have no Armour or Maximum Energy Shield
explicitMods,Your Chaos Damage has #% chance to Poison Enemies,7,7,object:7,,Your Chaos Damage has 60% chance to Poison Enemies
explicitMods,Your Spells have Culling Strike,7,7,object:7,,Your Spells have Culling Strike
explicitMods,# Added Passive Skill is Battle-Hardened,6,6,object:6,,1 Added Passive Skill is Battle-Hardened
explicitMods,# Added Passive Skill is Deep Chill,6,6,object:6,,1 Added Passive Skill is Deep Chill
explicitMods,# Added Passive Skill is Drive the Destruction,6,6,object:6,,1 Added Passive Skill is Drive the Destruction
explicitMods,# Added Passive Skill is Electric Presence,6,6,object:6,,1 Added Passive Skill is Electric Presence
explicitMods,# Added Passive Skill is Feasting Fiends,6,6,object:6,,1 Added Passive Skill is Feasting Fiends
explicitMods,# Added Passive Skill is Spiked Concoction,6,6,object:6,,1 Added Passive Skill is Spiked Concoction
explicitMods,# Added Passive Skill is Vile Reinvigoration,6,6,object:6,,1 Added Passive Skill is Vile Reinvigoration
explicitMods,# Added Passive Skill is Wound Aggravation,6,6,object:6,,1 Added Passive Skill is Wound Aggravation
explicitMods,# Dexterity per # Dexterity on Allocated Passives in Radius,6,6,object:6,,-1 Dexterity per 1 Dexterity on Allocated Passives in Radius
explicitMods,# Life gained on Kill per Frenzy Charge,6,6,object:6,,20 Life gained on Kill per Frenzy Charge
explicitMods,# Maximum Life per Level,6,6,object:6,,+2 Maximum Life per Level
explicitMods,# to # Added Lightning Damage with Wand Attacks,6,6,object:6,,4 to 43 Added Lightning Damage with Wand Attacks
explicitMods,# to # Added Spell Cold Damage while wielding a Two Handed Weapon,6,6,object:6,,12 to 16 Added Spell Cold Damage while wielding a Two Handed Weapon
explicitMods,# to Level of Socketed Lightning Gems,6,6,object:6,,+1 to Level of Socketed Lightning Gems
explicitMods,# to Level of Socketed Skill Gems per # Player Levels,6,6,object:6,,+1 to Level of Socketed Skill Gems per 25 Player Levels
explicitMods,# to Level of Supported Fire Skill Gems,6,6,object:6,,+1 to Level of Supported Fire Skill Gems
explicitMods,# to Level of all Fire Skill Gems,6,6,object:6,,+1 to Level of all Fire Skill Gems
explicitMods,#% Chance to Block Attack Damage if you have Blocked Spell Damage Recently,6,6,object:6,,+20% Chance to Block Attack Damage if you have Blocked Spell Damage Recently
explicitMods,#% Chance to Block Spell Damage while on Low Life,6,6,object:6,,+30% Chance to Block Spell Damage while on Low Life
explicitMods,#% Chance to Block Spell Damage while wielding a Staff,6,6,object:6,,+1% Chance to Block Spell Damage while wielding a Staff
explicitMods,#% chance for Energy Shield Recharge to start when you use a Skill,6,6,object:6,,10% chance for Energy Shield Recharge to start when you use a Skill
explicitMods,#% chance to Avoid Projectiles while Phasing,6,6,object:6,,20% chance to Avoid Projectiles while Phasing
explicitMods,#% chance to Block Spell Damage if you have Blocked Attack Damage Recently,6,6,object:6,,+20% chance to Block Spell Damage if you have Blocked Attack Damage Recently
explicitMods,#% chance to Chill Attackers for # seconds on Block,6,6,object:6,,41% chance to Chill Attackers for 4 seconds on Block
explicitMods,#% chance to Freeze Enemies for # second when they Hit you,6,6,object:6,,20% chance to Freeze Enemies for 1 second when they Hit you
explicitMods,#% chance to Hinder Enemies on Hit with Spells,6,6,object:6,,5% chance to Hinder Enemies on Hit with Spells
explicitMods,#% chance to Suppress Spell Damage per Fortification,6,6,object:6,,+4% chance to Suppress Spell Damage per Fortification
explicitMods,#% chance to create a Smoke Cloud when Hit,6,6,object:6,,25% chance to create a Smoke Cloud when Hit
explicitMods,#% chance to deal Damage without removing Charges,6,6,object:6,,3% chance to deal Damage without removing Charges
explicitMods,#% chance to gain a Frenzy Charge on Hit while Blinded,6,6,object:6,,17% chance to gain a Frenzy Charge on Hit while Blinded
explicitMods,#% chance to gain a Power Charge on Hit,6,6,object:6,,20% chance to gain a Power Charge on Hit
explicitMods,#% increased Attack Damage,6,6,object:6,,14% increased Attack Damage
explicitMods,#% increased Attack Speed with One Handed Melee Weapons,6,6,object:6,,4% increased Attack Speed with One Handed Melee Weapons
explicitMods,#% increased Attack Speed with Two Handed Melee Weapons,6,6,object:6,,4% increased Attack Speed with Two Handed Melee Weapons
explicitMods,#% increased Attack and Cast Speed while at maximum Fortification,6,6,object:6,,19% increased Attack and Cast Speed while at maximum Fortification
explicitMods,#% increased Cast Speed while holding a Shield,6,6,object:6,,3% increased Cast Speed while holding a Shield
explicitMods,#% increased Cold Damage if you have used a Fire Skill Recently,6,6,object:6,,22% increased Cold Damage if you have used a Fire Skill Recently
explicitMods,#% increased Damage for each type of Abyss Jewel affecting you,6,6,object:6,,10% increased Damage for each type of Abyss Jewel affecting you
explicitMods,#% increased Damage taken per Frenzy Charge,6,6,object:6,,1% increased Damage taken per Frenzy Charge
explicitMods,#% increased Damage with Hits and Ailments against Ignited Enemies,6,6,object:6,,36% increased Damage with Hits and Ailments against Ignited Enemies
explicitMods,#% increased Duration of Poisons you inflict during Effect,6,6,object:6,,53% increased Duration of Poisons you inflict during Effect
explicitMods,#% increased Effect of Non-Curse Auras from your Skills on Enemies,6,6,object:6,,17% increased Effect of Non-Curse Auras from your Skills on Enemies
explicitMods,#% increased Effect of Shock,6,6,object:6,,20% increased Effect of Shock
explicitMods,#% increased Elemental Damage per Frenzy Charge,6,6,object:6,,6% increased Elemental Damage per Frenzy Charge
explicitMods,#% increased Elemental Damage per Power charge,6,6,object:6,,3% increased Elemental Damage per Power charge
explicitMods,#% increased Endurance Charge Duration,6,6,object:6,,30% increased Endurance Charge Duration
explicitMods,#% increased Energy Shield Recharge Rate during any Flask Effect,6,6,object:6,,151% increased Energy Shield Recharge Rate during any Flask Effect
explicitMods,#% increased Fire Damage if you have used a Cold Skill Recently,6,6,object:6,,28% increased Fire Damage if you have used a Cold Skill Recently
explicitMods,#% increased Fire Damage with Hits and Ailments against Blinded Enemies,6,6,object:6,,38% increased Fire Damage with Hits and Ailments against Blinded Enemies
explicitMods,#% increased Lightning Damage per Frenzy Charge,6,6,object:6,,16% increased Lightning Damage per Frenzy Charge
explicitMods,#% increased Mana Regeneration Rate while moving,6,6,object:6,,38% increased Mana Regeneration Rate while moving
explicitMods,#% increased Maximum Life if no Equipped Items are Corrupted,6,6,object:6,,9% increased Maximum Life if no Equipped Items are Corrupted
explicitMods,#% increased Melee Critical Strike Chance,6,6,object:6,,10% increased Melee Critical Strike Chance
explicitMods,#% increased Movement Speed per # Dexterity on Allocated Passives in Radius,6,6,object:6,,3% increased Movement Speed per 10 Dexterity on Allocated Passives in Radius
explicitMods,#% increased Rarity of Items found per # Rampage Kills,6,6,object:6,,1% increased Rarity of Items found per 15 Rampage Kills
explicitMods,#% increased rotation speed if Dual Wielding,6,6,object:6,,25% increased rotation speed if Dual Wielding
explicitMods,#% more Area of Effect per Charge removed,6,6,object:6,,15% more Area of Effect per Charge removed
explicitMods,#% more Damage with Arrow Hits at Close Range,6,6,object:6,,50% more Damage with Arrow Hits at Close Range
explicitMods,#% more Effect of Chill,6,6,object:6,,23% more Effect of Chill
explicitMods,#% of Attack Damage Leeched as Life against Maimed Enemies,6,6,object:6,,0.5% of Attack Damage Leeched as Life against Maimed Enemies
explicitMods,#% of Attack Damage Leeched as Mana against Poisoned Enemies,6,6,object:6,,0.5% of Attack Damage Leeched as Mana against Poisoned Enemies
explicitMods,#% of Damage Leeched as Energy Shield against Frozen Enemies,6,6,object:6,,1% of Damage Leeched as Energy Shield against Frozen Enemies
explicitMods,#% of Damage Leeched as Life,6,6,object:6,,1% of Damage Leeched as Life
explicitMods,"#% of Physical Damage Converted to Fire, Cold or Lightning Damage",6,6,object:6,,"100% of Physical Damage Converted to Fire, Cold or Lightning Damage"
explicitMods,#% of Physical Damage from Hits taken as Cold Damage during Effect,6,6,object:6,,14% of Physical Damage from Hits taken as Cold Damage during Effect
explicitMods,#% reduced Effect of Chill and Shock on you,6,6,object:6,crafted=True:1,39% reduced Effect of Chill and Shock on you
explicitMods,#% reduced Elemental Resistances,6,6,object:6,,61% reduced Elemental Resistances
explicitMods,#% reduced Flask Effect Duration,6,6,object:6,,20% reduced Flask Effect Duration
explicitMods,#% reduced Spark Duration,6,6,object:6,,19% reduced Spark Duration
explicitMods,#% reduced Strength,6,6,object:6,,10% reduced Strength
explicitMods,#% slower start of Energy Shield Recharge during any Flask Effect,6,6,object:6,,50% slower start of Energy Shield Recharge during any Flask Effect
explicitMods,#% to Critical Strike Multiplier with Elemental Skills,6,6,object:6,,+15% to Critical Strike Multiplier with Elemental Skills
explicitMods,#% to Damage over Time Multiplier for Bleeding from Hits with this Weapon,6,6,object:6,,+29% to Damage over Time Multiplier for Bleeding from Hits with this Weapon
explicitMods,#% to Maximum Effect of Shock,6,6,object:6,,+10% to Maximum Effect of Shock
explicitMods,<currencyitem>{#x Orb of Regret},6,6,object:6,,<currencyitem>{40x Orb of Regret}
explicitMods,Adds # to # Physical Damage to Attacks per # Dexterity,6,6,object:6,,Adds 1 to 3 Physical Damage to Attacks per 25 Dexterity
explicitMods,Adds # to # Physical Damage to Attacks with this Weapon per # Player Levels,6,6,object:6,,Adds 3 to 5 Physical Damage to Attacks with this Weapon per 3 Player Levels
explicitMods,"Adds an incubated Fragment item to an equippable item\nItem drops after killing # monsters",6,6,object:6,,"Adds an incubated Fragment item to an equippable item\nItem drops after killing 8924 monsters"
explicitMods,Ancestral Bond,6,6,object:6,,Ancestral Bond
explicitMods,Ancestrally Boosted Slams deal #% more Damage with Hits and Ailments,6,6,object:6,,Ancestrally Boosted Slams deal 97% more Damage with Hits and Ailments
explicitMods,Ancestrally Boosted Slams have #% increased Area of Effect,6,6,object:6,,Ancestrally Boosted Slams have 58% increased Area of Effect
explicitMods,Area contains additional waves of Ravager Maws,6,6,object:6,,Area contains additional waves of Ravager Maws
explicitMods,"Area contains patches of moving Marked Ground, inflicting random Marks",6,6,object:6,,"Area contains patches of moving Marked Ground, inflicting random Marks"
explicitMods,"Attaches to a new Enemy after Activating, no more than once every # seconds",6,6,object:6,,"Attaches to a new Enemy after Activating, no more than once every 0.3 seconds"
explicitMods,Attacks have #% to Critical Strike Chance,6,6,object:6,,Attacks have +1.47% to Critical Strike Chance
explicitMods,"Attacks with Supported Skill are Ancestrally Boosted, no more than once every # seconds\nAncestral Boost does not apply to repeats of the Attack",6,6,object:6,,"Attacks with Supported Skill are Ancestrally Boosted, no more than once every 1.84 seconds\nAncestra"
explicitMods,Attacks with this Weapon Penetrate #% Chaos Resistance,6,6,object:6,crafted=True:1,Attacks with this Weapon Penetrate 4% Chaos Resistance
explicitMods,Attacks with this Weapon Penetrate #% Cold Resistance,6,6,object:6,,Attacks with this Weapon Penetrate 6% Cold Resistance
explicitMods,Attacks with this Weapon deal Double Damage,6,6,object:6,,Attacks with this Weapon deal Double Damage
explicitMods,Beam deals #% more Damage with Hits per Stage after the first\nBeam deals #% more Damage with Ailments per Stage after the first,6,6,object:6,,Beam deals 250% more Damage with Hits per Stage after the first\nBeam deals 105% more Damage with Ai
explicitMods,Beams Chain # Times,6,6,object:6,,Beams Chain 4 Times
explicitMods,Bow Attacks have Culling Strike,6,6,object:6,,Bow Attacks have Culling Strike
explicitMods,Bow Knockback at Close Range,6,6,object:6,,Bow Knockback at Close Range
explicitMods,Buff grants #% to Maximum total Life Recovery per second from Leech,6,6,object:6,,Buff grants +2% to Maximum total Life Recovery per second from Leech
explicitMods,"Buff grants gain #% of Physical Damage as\nExtra Fire Damage per # power, counting a maximum of # Power",6,6,object:6,,"Buff grants gain 5% of Physical Damage as\nExtra Fire Damage per 5 power, counting a maximum of 25 P"
explicitMods,Burning Ground deals #% of the Fire Damage per Second of strongest Ignite on Enemy\nCaustic Ground deals #% of the Chaos Damage per Second of strongest Poison on Enemy\nCan create each Ground effect no more than once each second,6,6,object:6,,Burning Ground deals 22% of the Fire Damage per Second of strongest Ignite on Enemy\nCaustic Ground
explicitMods,Can grow into a Unique item on the Genesis Tree,6,6,object:6,,Can grow into a Unique item on the Genesis Tree
explicitMods,Can't use other Rings,6,6,object:6,,Can't use other Rings
explicitMods,Cannot Evade Enemy Attacks,6,6,object:6,,Cannot Evade Enemy Attacks
explicitMods,Celestial Footprints,6,6,object:6,,Celestial Footprints
explicitMods,Consumes up to # corpses,6,6,object:6,,Consumes up to 3 corpses
explicitMods,Counts total Power of Enemies and Corpses in Range,6,6,object:6,,Counts total Power of Enemies and Corpses in Range
explicitMods,"Curse Enemies with Elemental Weakness when you Block their Spell Damage, ignoring Curse Limit",6,6,object:6,,"Curse Enemies with Elemental Weakness when you Block their Spell Damage, ignoring Curse Limit"
explicitMods,"Curse Enemies with Punishment when you Block their Melee Damage, ignoring Curse Limit",6,6,object:6,,"Curse Enemies with Punishment when you Block their Melee Damage, ignoring Curse Limit"
explicitMods,Curse Enemies with Temporal Chains on Hit,6,6,object:6,,Curse Enemies with Temporal Chains on Hit
explicitMods,"Curse Enemies with Temporal Chains when you Block their Projectile Attack Damage, ignoring Curse Limit",6,6,object:6,,"Curse Enemies with Temporal Chains when you Block their Projectile Attack Damage, ignoring Curse Lim"
explicitMods,Cursed Enemies have a #% chance to grant an Endurance Charge when Hit,6,6,object:6,,Cursed Enemies have a 4% chance to grant an Endurance Charge when Hit
explicitMods,Damages # nearby Enemies when you gain Stages,6,6,object:6,,Damages 5 nearby Enemies when you gain Stages
explicitMods,Deal Triple Damage with Elemental Skills,6,6,object:6,,Deal Triple Damage with Elemental Skills
explicitMods,Deals # to # base Cold Damage per Frenzy Charge removed,6,6,object:6,,Deals 126 to 189 base Cold Damage per Frenzy Charge removed
explicitMods,Deals # to # base Fire Damage per Endurance Charge removed,6,6,object:6,,Deals 126 to 189 base Fire Damage per Endurance Charge removed
explicitMods,Deals # to # base Lightning Damage per Power Charge removed,6,6,object:6,,Deals 79 to 237 base Lightning Damage per Power Charge removed
explicitMods,Deals Damage every # seconds,6,6,object:6,,Deals Damage every 0.25 seconds
explicitMods,"During initial Duration, can be hit by your Projectiles up to # times",6,6,object:6,,"During initial Duration, can be hit by your Projectiles up to 20 times"
explicitMods,Each Snare applies #% less Movement Speed to Normal or Magic Enemies,6,6,object:6,,Each Snare applies 40% less Movement Speed to Normal or Magic Enemies
explicitMods,Each Snare applies #% less Movement Speed to Rare Enemies,6,6,object:6,,Each Snare applies 30% less Movement Speed to Rare Enemies
explicitMods,Each Snare applies #% less Movement Speed to Unique Enemies,6,6,object:6,,Each Snare applies 25% less Movement Speed to Unique Enemies
explicitMods,Each Spore Pod fires # Thorn Arrows,6,6,object:6,,Each Spore Pod fires 11 Thorn Arrows
explicitMods,Eldritch Battery,6,6,object:6,,Eldritch Battery
explicitMods,Enemies Blinded by you have Malediction,6,6,object:6,,Enemies Blinded by you have Malediction
explicitMods,Enemies in range are Hindered,6,6,object:6,,Enemies in range are Hindered
explicitMods,"Enemies near corpses affected by your Curses are Blinded\nEnemies Killed near corpses affected by your Curses explode, dealing\n#% of their Life as Physical Damage",6,6,object:6,,Enemies near corpses affected by your Curses are Blinded\nEnemies Killed near corpses affected by yo
explicitMods,Ensnared Enemies take #% increased Projectile Damage from Attack Hits,6,6,object:6,,Ensnared Enemies take 19% increased Projectile Damage from Attack Hits
explicitMods,Every # seconds:\nGain #% of Life per Enemy Hit with Attacks for # seconds\nGain #% of Life per Enemy Killed for # seconds,6,6,object:6,,Every 10 seconds:\nGain 2% of Life per Enemy Hit with Attacks for 5 seconds\nGain 5% of Life per Ene
explicitMods,Exerted Attacks Trigger Combust the first time they deal a Melee Hit,6,6,object:6,,Exerted Attacks Trigger Combust the first time they deal a Melee Hit
explicitMods,Explosion deals Base Fire Damage equal to #% of the Monster's maximum Life,6,6,object:6,,Explosion deals Base Fire Damage equal to 8% of the Monster's maximum Life
explicitMods,First Mine Detonates Instantly\nMines get #% more Detonation Speed for each prior Mine in Detonation Sequence,6,6,object:6,,First Mine Detonates Instantly\nMines get 10% more Detonation Speed for each prior Mine in Detonatio
explicitMods,Freezes on Cursed enemies have #% increased Duration,6,6,object:6,,Freezes on Cursed enemies have 20% increased Duration
explicitMods,"Gain # Flask Charge when you Hit a Cursed Enemy, no more than once every # seconds",6,6,object:6,,"Gain 1 Flask Charge when you Hit a Cursed Enemy, no more than once every 3 seconds"
explicitMods,Gain # Life when you lose an Endurance Charge,6,6,object:6,,Gain 100 Life when you lose an Endurance Charge
explicitMods,Gain #% of Physical Attack Damage as Extra Lightning Damage,6,6,object:6,,Gain 15% of Physical Attack Damage as Extra Lightning Damage
explicitMods,Gain Soul Eater during any Flask Effect,6,6,object:6,,Gain Soul Eater during any Flask Effect
explicitMods,Gain a Power Charge every Second if you haven't lost Power Charges Recently,6,6,object:6,,Gain a Power Charge every Second if you haven't lost Power Charges Recently
explicitMods,Grants Level # Aspect of the Cat Skill,6,6,object:6,,Grants Level 20 Aspect of the Cat Skill
explicitMods,Grants Level # Icestorm Skill,6,6,object:6,,Grants Level 1 Icestorm Skill
explicitMods,Grants Level # Precision Skill,6,6,object:6,,Grants Level 30 Precision Skill
explicitMods,Grants Perfect Agony during effect,6,6,object:6,,Grants Perfect Agony during effect
explicitMods,Heist Chests have a #% chance to Duplicate contained Catalysts,6,6,object:6,,Heist Chests have a 6% chance to Duplicate contained Catalysts
explicitMods,Heist Chests have a #% chance to Duplicate contained Delirium Orbs and Splinters,6,6,object:6,,Heist Chests have a 9% chance to Duplicate contained Delirium Orbs and Splinters
explicitMods,Herald of Ice has #% increased Mana Reservation Efficiency,6,6,object:6,,Herald of Ice has 38% increased Mana Reservation Efficiency
explicitMods,Herald of Thunder has #% increased Mana Reservation Efficiency,6,6,object:6,,Herald of Thunder has 34% increased Mana Reservation Efficiency
explicitMods,"If you Consumed a corpse Recently, you and nearby Allies Regenerate #% of Life per second",6,6,object:6,,"If you Consumed a corpse Recently, you and nearby Allies Regenerate 5% of Life per second"
explicitMods,Implicit Modifier magnitudes are tripled,6,6,object:6,,Implicit Modifier magnitudes are tripled
explicitMods,Improves the quality of a weapon,6,6,object:6,,Improves the quality of a weapon
explicitMods,Increases and Reductions to Energy Shield in Radius are Transformed to apply to Armour at #% of their value,6,6,object:6,,Increases and Reductions to Energy Shield in Radius are Transformed to apply to Armour at 200% of th
explicitMods,Intelligence from Passives in Radius is Transformed to Dexterity,6,6,object:6,,Intelligence from Passives in Radius is Transformed to Dexterity
explicitMods,Leaves a Lingering Blade in the ground for every Volley,6,6,object:6,,Leaves a Lingering Blade in the ground for every Volley
explicitMods,Life Leech effects are not removed at Full Life\nLife Leech effects apply Recovery Linked Target instead of you\nLinked target's Maximum total Life Recovery per second from Leech is equal to yours,6,6,object:6,,Life Leech effects are not removed at Full Life\nLife Leech effects apply Recovery Linked Target ins
explicitMods,Linked target has #% to Critical Strike Multiplier,6,6,object:6,,Linked target has +45% to Critical Strike Multiplier
explicitMods,Linked target's Main Hand Critical Strike Chance is equal to yours,6,6,object:6,,Linked target's Main Hand Critical Strike Chance is equal to yours
explicitMods,Lose all Eaten Souls when you use a Flask,6,6,object:6,,Lose all Eaten Souls when you use a Flask
explicitMods,Lose all Power Charges when you Block,6,6,object:6,,Lose all Power Charges when you Block
explicitMods,Maximum # Raised Spectre,6,6,object:6,,Maximum 1 Raised Spectre
explicitMods,Maximum # Snares per Enemy,6,6,object:6,,Maximum 3 Snares per Enemy
explicitMods,Maximum # Summoned Mirage Warriors,6,6,object:6,,Maximum 6 Summoned Mirage Warriors
explicitMods,Maximum # Tornado,6,6,object:6,,Maximum 1 Tornado
explicitMods,Maximum of # Orbs at a time,6,6,object:6,,Maximum of 60 Orbs at a time
explicitMods,Minions deal # to # additional Fire Damage,6,6,object:6,,Minions deal 16 to 22 additional Fire Damage
explicitMods,Minions have #% chance to Blind on Hit with Attacks,6,6,object:6,fractured=True:1,Minions have 5% chance to Blind on Hit with Attacks
explicitMods,Minions have #% chance to Hinder Enemies on Hit with Spells,6,6,object:6,,Minions have 8% chance to Hinder Enemies on Hit with Spells
explicitMods,Minions have #% to Critical Strike Multiplier per Withered Debuff on Enemy,6,6,object:6,,Minions have +5% to Critical Strike Multiplier per Withered Debuff on Enemy
explicitMods,Modifiers to number of Projectiles instead apply\nto the number of targets Projectiles Split towards,6,6,object:6,,Modifiers to number of Projectiles instead apply\nto the number of targets Projectiles Split towards
explicitMods,Monsters have #% chance to gain a Power Charge on Hit,6,6,object:6,,Monsters have 58% chance to gain a Power Charge on Hit
explicitMods,Nearby allies Recover #% of your Maximum Life when you Die,6,6,object:6,,Nearby allies Recover 1% of your Maximum Life when you Die
explicitMods,Non-Aura Curses you inflict are not removed from Dying Enemies,6,6,object:6,,Non-Aura Curses you inflict are not removed from Dying Enemies
explicitMods,Other Jewellery: Adds (#-#) to (#-#) Physical Damage to Attacks,6,6,object:5;string:1,,Other Jewellery: Adds (4-6) to (9-10) Physical Damage to Attacks
explicitMods,Precision has #% increased Mana Reservation Efficiency,6,6,object:6,,Precision has 100% increased Mana Reservation Efficiency
explicitMods,Primary Projectile Chains # Times,6,6,object:6,,Primary Projectile Chains +3 Times
explicitMods,Projectiles Pierce # additional Targets while you have Phasing,6,6,object:6,,Projectiles Pierce 5 additional Targets while you have Phasing
explicitMods,Projectiles from Supported Skills Pierce all Targets while Returning,6,6,object:6,,Projectiles from Supported Skills Pierce all Targets while Returning
explicitMods,Projectiles from Supported Skills Return to you,6,6,object:6,,Projectiles from Supported Skills Return to you
explicitMods,Projectiles from Supported Skills deal #% less Damage with Hits and Ailments while Returning,6,6,object:6,,Projectiles from Supported Skills deal 66% less Damage with Hits and Ailments while Returning
explicitMods,Projectiles from Supported Skills deal #% more Damage with Hits per Intensity,6,6,object:6,,Projectiles from Supported Skills deal 20% more Damage with Hits per Intensity
explicitMods,Quicksilver Flasks you Use also apply to nearby Allies,6,6,object:6,,Quicksilver Flasks you Use also apply to nearby Allies
explicitMods,Reflects # to # Lightning Damage to Melee Attackers,6,6,object:6,,Reflects 1 to 250 Lightning Damage to Melee Attackers
explicitMods,Reflects #% of Damage Taken to Enemies,6,6,object:6,,Reflects 10% of Damage Taken to Enemies
explicitMods,Regenerate # Life per second if no Equipped Items are Corrupted,6,6,object:6,,Regenerate 400 Life per second if no Equipped Items are Corrupted
explicitMods,Rotates # times,6,6,object:6,,Rotates 4 times
explicitMods,Rotates # times if Dual Wielding,6,6,object:6,,Rotates +1 times if Dual Wielding
explicitMods,Sends a beam to the Branded Enemy,6,6,object:6,,Sends a beam to the Branded Enemy
explicitMods,Shocks you when you reach Maximum Power Charges,6,6,object:6,,Shocks you when you reach Maximum Power Charges
explicitMods,Siege Ballista has # to maximum number of Summoned Totems per # Dexterity,6,6,object:6,,Siege Ballista has +1 to maximum number of Summoned Totems per 200 Dexterity
explicitMods,Socketed Gems are Supported by Level # Ancestral Call,6,6,object:6,,Socketed Gems are Supported by Level 18 Ancestral Call
explicitMods,Socketed Gems are Supported by Level # Lifetap,6,6,object:6,,Socketed Gems are Supported by Level 1 Lifetap
explicitMods,Socketed Gems are Supported by Level # Melee Physical Damage,6,6,object:6,,Socketed Gems are Supported by Level 30 Melee Physical Damage
explicitMods,Socketed Gems are Supported by Level # Minion Life,6,6,object:6,,Socketed Gems are Supported by Level 20 Minion Life
explicitMods,Socketed Gems are supported by Level # Melee Splash,6,6,object:6,,Socketed Gems are supported by Level 18 Melee Splash
explicitMods,"Steal Power, Frenzy, and Endurance Charges on Hit",6,6,object:6,,"Steal Power, Frenzy, and Endurance Charges on Hit"
explicitMods,Strength's Damage bonus applies to all Spell Damage as well for Supported Skills,6,6,object:6,,Strength's Damage bonus applies to all Spell Damage as well for Supported Skills
explicitMods,Stun Threshold is based on Energy Shield instead of Life,6,6,object:6,,Stun Threshold is based on Energy Shield instead of Life
explicitMods,"Summons Mirage Warriors from # corpses per # Power, minimum # corpse",6,6,object:6,,"Summons Mirage Warriors from 2 corpses per 5 Power, minimum 1 corpse"
explicitMods,Supported Skills deal #% less Minimum Attack Damage,6,6,object:6,,Supported Skills deal 69% less Minimum Attack Damage
explicitMods,Supported Skills deal #% more Maximum Attack Damage,6,6,object:6,,Supported Skills deal 58% more Maximum Attack Damage
explicitMods,Supported Skills gain #% of Physical Damage as Extra Lightning Damage,6,6,object:6,,Supported Skills gain 28% of Physical Damage as Extra Lightning Damage
explicitMods,Supported Skills have #% chance to Shock,6,6,object:6,,Supported Skills have 20% chance to Shock
explicitMods,Supported Skills have #% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy,6,6,object:6,,Supported Skills have 30% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy
explicitMods,Supported Skills have #% chance to gain a Power Charge when your Trap is triggered by an Enemy,6,6,object:6,,Supported Skills have 30% chance to gain a Power Charge when your Trap is triggered by an Enemy
explicitMods,Supported Skills have #% increased Attack Critical Strike Chance,6,6,object:6,,Supported Skills have 20% increased Attack Critical Strike Chance
explicitMods,Supported Skills have #% increased Spell Critical Strike Chance,6,6,object:6,,Supported Skills have 20% increased Spell Critical Strike Chance
explicitMods,Supported Skills have #% increased Trap Throwing Speed per Frenzy Charge,6,6,object:6,,Supported Skills have 10% increased Trap Throwing Speed per Frenzy Charge
explicitMods,Supported Skills have #% increased Trap Trigger Area of Effect,6,6,object:6,,Supported Skills have 23% increased Trap Trigger Area of Effect
explicitMods,Supported Skills have #% of Physical Damage Converted to Lightning Damage,6,6,object:6,,Supported Skills have 50% of Physical Damage Converted to Lightning Damage
explicitMods,Supported Skills have #% to Critical Strike Multiplier per Power Charge when used by Traps,6,6,object:6,,Supported Skills have +15% to Critical Strike Multiplier per Power Charge when used by Traps
explicitMods,"Supported Spells gain Intensity when you Cast them, to a maximum of #\nSupported Skills fire # fewer Projectile per Intensity",6,6,object:6,,"Supported Spells gain Intensity when you Cast them, to a maximum of 3\nSupported Skills fire 1 fewer"
explicitMods,Supported Triggered Spells deal #% less Damage,6,6,object:6,,Supported Triggered Spells deal 20% less Damage
